Sequence549.csv_1: True Class: A, Predicted: A, Probability: 0.9999899533397053
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.9864265078394544
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.9271756843723338
Sequence551.csv_1: True Class: A, Predicted: B, Probability: 0.9999978605119217
Sequence552.csv_1: True Class: A, Predicted: B, Probability: 0.9992605229863017
Sequence553.csv_1: True Class: B, Predicted: A, Probability: 0.9955698724851666
Sequence554.csv_1: True Class: A, Predicted: B, Probability: 0.9999976913250576
Sequence555.csv_1: True Class: A, Predicted: B, Probability: 0.9999997880090963
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.9014415150957088
Sequence557.csv_1: True Class: A, Predicted: B, Probability: 0.9986354848697635
Sequence558.csv_1: True Class: A, Predicted: B, Probability: 0.9970082952537579
Sequence559.csv_1: True Class: A, Predicted: B, Probability: 0.993141820036903
Sequence56.csv_1: True Class: A, Predicted: B, Probability: 0.8385261759029738
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.5354275117751975
Sequence561.csv_1: True Class: B, Predicted: A, Probability: 0.9998008577653285
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.9999991517005437
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.9985006007098677
Sequence564.csv_1: True Class: B, Predicted: A, Probability: 0.9999988157318312
Sequence565.csv_1: True Class: B, Predicted: A, Probability: 0.8985156248696462
Sequence566.csv_1: True Class: A, Predicted: B, Probability: 0.999205839729492
Sequence567.csv_1: True Class: A, Predicted: B, Probability: 0.999994792399304
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.9605132439719782
Sequence569.csv_1: True Class: B, Predicted: A, Probability: 0.9999942731003028
Sequence57.csv_1: True Class: A, Predicted: B, Probability: 0.99997858075292
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.9982516389421499
Sequence571.csv_1: True Class: A, Predicted: B, Probability: 0.9554282503614289
Sequence572.csv_1: True Class: B, Predicted: A, Probability: 0.9829334187239676
Sequence573.csv_1: True Class: A, Predicted: B, Probability: 0.9641841048221566
Sequence574.csv_1: True Class: A, Predicted: B, Probability: 0.9902327300704167
Sequence575.csv_1: True Class: B, Predicted: B, Probability: 0.9999998336404973
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.9967699805413855
Sequence577.csv_1: True Class: B, Predicted: A, Probability: 0.9999985264904258
Sequence578.csv_1: True Class: B, Predicted: A, Probability: 0.7128676755174143
Sequence579.csv_1: True Class: A, Predicted: B, Probability: 0.9999455779002171
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9983690768689747
Sequence580.csv_1: True Class: B, Predicted: A, Probability: 0.9977281312851528
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9959196576655565
Sequence582.csv_1: True Class: B, Predicted: A, Probability: 0.96658299163298
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.9956851236034039
Sequence584.csv_1: True Class: B, Predicted: B, Probability: 0.9890484924917037
