Sequence549.csv_1: True Class: A, Predicted: C, Probability: 0.6355115073354681
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 0.999085857866536
Sequence550.csv_1: True Class: C, Predicted: B, Probability: 0.9700513356982425
Sequence551.csv_1: True Class: C, Predicted: B, Probability: 0.9220564088600873
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9999696863394877
Sequence553.csv_1: True Class: B, Predicted: B, Probability: 0.8767363966763293
Sequence554.csv_1: True Class: A, Predicted: B, Probability: 0.9995480491521112
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.9942294523989998
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.9931630640747416
Sequence557.csv_1: True Class: A, Predicted: B, Probability: 0.9998145513790956
Sequence558.csv_1: True Class: B, Predicted: A, Probability: 0.9389781935935426
Sequence559.csv_1: True Class: C, Predicted: C, Probability: 0.9999983681035195
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999539049
Sequence560.csv_1: True Class: A, Predicted: C, Probability: 0.9244924797542639
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.9998964749973087
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.9999839820695091
Sequence563.csv_1: True Class: A, Predicted: B, Probability: 0.9999739217313272
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9999806653470942
Sequence565.csv_1: True Class: B, Predicted: B, Probability: 0.6598415549402766
Sequence566.csv_1: True Class: C, Predicted: B, Probability: 0.9999960123805273
Sequence567.csv_1: True Class: A, Predicted: B, Probability: 0.9977024514824661
Sequence568.csv_1: True Class: B, Predicted: B, Probability: 0.9752089156981799
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9999423120338393
Sequence57.csv_1: True Class: C, Predicted: C, Probability: 0.823315875825952
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.9969081087184126
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9999999594890004
Sequence572.csv_1: True Class: B, Predicted: A, Probability: 0.9995625691173452
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.9999374227542119
Sequence574.csv_1: True Class: A, Predicted: B, Probability: 0.999331026676023
Sequence575.csv_1: True Class: B, Predicted: B, Probability: 0.9768995146549688
Sequence576.csv_1: True Class: C, Predicted: C, Probability: 0.9999913280162773
Sequence577.csv_1: True Class: A, Predicted: B, Probability: 0.9993307638505098
Sequence578.csv_1: True Class: A, Predicted: B, Probability: 0.9999964578477778
Sequence579.csv_1: True Class: A, Predicted: C, Probability: 0.9999992042971655
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.7600291173826156
Sequence580.csv_1: True Class: A, Predicted: B, Probability: 0.9818550248044988
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999974905
Sequence582.csv_1: True Class: C, Predicted: A, Probability: 0.8483266910518907
Sequence583.csv_1: True Class: B, Predicted: B, Probability: 0.9864774116255763
Sequence584.csv_1: True Class: C, Predicted: B, Probability: 0.9999580940217209
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 0.9965413575171287
Sequence586.csv_1: True Class: A, Predicted: B, Probability: 0.8249519577308084
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 0.9999999465978429
Sequence588.csv_1: True Class: B, Predicted: A, Probability: 0.6748916123384046
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9997934388885193
Sequence59.csv_1: True Class: A, Predicted: B, Probability: 0.9539967995653451
Sequence590.csv_1: True Class: C, Predicted: C, Probability: 0.9529505082617603
Sequence591.csv_1: True Class: A, Predicted: B, Probability: 0.9939177948076869
Sequence592.csv_1: True Class: C, Predicted: C, Probability: 0.5434428905128539
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.999999543272352
Sequence594.csv_1: True Class: C, Predicted: C, Probability: 0.9906543792386405
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 0.994099565475274
Sequence596.csv_1: True Class: A, Predicted: C, Probability: 0.9727623987306845
Sequence597.csv_1: True Class: C, Predicted: C, Probability: 0.999397852600351
Sequence598.csv_1: True Class: B, Predicted: C, Probability: 0.9999941485061792
Sequence599.csv_1: True Class: C, Predicted: B, Probability: 0.830246145130605
Sequence6.csv_1: True Class: A, Predicted: C, Probability: 0.9999999171089659
Sequence60.csv_1: True Class: A, Predicted: B, Probability: 0.9716195085976381
Sequence600.csv_1: True Class: B, Predicted: B, Probability: 0.9706689829627513
Sequence601.csv_1: True Class: C, Predicted: B, Probability: 0.9997078455716849
Sequence602.csv_1: True Class: B, Predicted: C, Probability: 0.999998647284999
Sequence603.csv_1: True Class: C, Predicted: C, Probability: 0.9999013313968633
Sequence604.csv_1: True Class: B, Predicted: A, Probability: 0.954882736123208
Sequence605.csv_1: True Class: B, Predicted: B, Probability: 0.9999999990078673
Sequence606.csv_1: True Class: B, Predicted: C, Probability: 0.9983900271057294
Sequence607.csv_1: True Class: B, Predicted: C, Probability: 0.9892273473374749
Sequence608.csv_1: True Class: B, Predicted: A, Probability: 0.6410568061551238
Sequence609.csv_1: True Class: A, Predicted: A, Probability: 0.9999999995199391
Sequence61.csv_1: True Class: C, Predicted: B, Probability: 0.9999961953197214
Sequence610.csv_1: True Class: C, Predicted: B, Probability: 0.9953601054479034
Sequence611.csv_1: True Class: B, Predicted: B, Probability: 0.9817404724337836
Sequence612.csv_1: True Class: A, Predicted: A, Probability: 0.9998399800826572
Sequence613.csv_1: True Class: C, Predicted: B, Probability: 0.9999999998905007
Sequence614.csv_1: True Class: C, Predicted: A, Probability: 0.8426036916782037
Sequence615.csv_1: True Class: C, Predicted: A, Probability: 0.9992344307200203
Sequence616.csv_1: True Class: C, Predicted: C, Probability: 0.9748135957577712
Sequence617.csv_1: True Class: B, Predicted: B, Probability: 0.9999999979656978
Sequence618.csv_1: True Class: A, Predicted: A, Probability: 0.9999961412634928
Sequence619.csv_1: True Class: C, Predicted: C, Probability: 0.9707509093650664
Sequence62.csv_1: True Class: C, Predicted: B, Probability: 0.998997714967479
Sequence620.csv_1: True Class: B, Predicted: A, Probability: 0.9969145008220567
