Sequence549.csv_1: True Class: C, Predicted: B, Probability: 0.9812428490007917
Sequence55.csv_1: True Class: A, Predicted: C, Probability: 0.836233878499691
Sequence550.csv_1: True Class: B, Predicted: A, Probability: 0.8645170303514201
Sequence551.csv_1: True Class: A, Predicted: B, Probability: 0.5616833305265541
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.5903542874771244
Sequence553.csv_1: True Class: A, Predicted: C, Probability: 0.5644932381628862
Sequence554.csv_1: True Class: C, Predicted: C, Probability: 0.8144916617528122
Sequence555.csv_1: True Class: B, Predicted: A, Probability: 0.7115374639978476
Sequence556.csv_1: True Class: C, Predicted: C, Probability: 0.8950198676918736
Sequence557.csv_1: True Class: C, Predicted: B, Probability: 0.5505336665874444
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.9367630413612572
Sequence559.csv_1: True Class: B, Predicted: A, Probability: 0.9999939959517947
Sequence56.csv_1: True Class: B, Predicted: A, Probability: 0.9999921293491414
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.9145357269945622
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.9968812433179473
Sequence562.csv_1: True Class: C, Predicted: C, Probability: 0.8335552858965052
Sequence563.csv_1: True Class: B, Predicted: A, Probability: 0.9994024816004988
Sequence564.csv_1: True Class: B, Predicted: A, Probability: 0.9999206433763997
Sequence565.csv_1: True Class: C, Predicted: B, Probability: 0.9979288973536194
Sequence566.csv_1: True Class: A, Predicted: B, Probability: 0.997744556197337
Sequence567.csv_1: True Class: A, Predicted: C, Probability: 0.9922085894721793
Sequence568.csv_1: True Class: A, Predicted: C, Probability: 0.9780968871316952
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.9005623628302244
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.9999898299707368
Sequence570.csv_1: True Class: A, Predicted: B, Probability: 0.7738122456568178
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9997752656665826
Sequence572.csv_1: True Class: B, Predicted: A, Probability: 0.9691875520921915
Sequence573.csv_1: True Class: C, Predicted: A, Probability: 0.9649002671650666
Sequence574.csv_1: True Class: C, Predicted: C, Probability: 0.9999999962626896
Sequence575.csv_1: True Class: C, Predicted: A, Probability: 0.877338325096051
