Sequence549.csv_1: True Class: B, Predicted: A, Probability: 0.9938005169561084
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.999999987436177
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.5467887821498028
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 0.9863286678492985
Sequence552.csv_1: True Class: A, Predicted: B, Probability: 0.99999999999957
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 0.9999996197313283
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.9999999989506967
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.9702417165450212
Sequence557.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999996833
Sequence558.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999998547
Sequence559.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9999999829187971
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.6684700222719309
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.9999999993756303
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999987553
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence564.csv_1: True Class: A, Predicted: B, Probability: 0.9999999840503146
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999934565
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence567.csv_1: True Class: A, Predicted: B, Probability: 0.5782480889050536
Sequence568.csv_1: True Class: A, Predicted: B, Probability: 0.9457869204906431
Sequence569.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.9056127065609222
Sequence571.csv_1: True Class: B, Predicted: B, Probability: 0.9999999992671769
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence573.csv_1: True Class: B, Predicted: A, Probability: 0.9999771215644082
Sequence574.csv_1: True Class: A, Predicted: B, Probability: 0.9998966108770301
Sequence575.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999997705
Sequence576.csv_1: True Class: B, Predicted: B, Probability: 0.9999998725968123
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999976155
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999856768
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence58.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999898707
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence581.csv_1: True Class: B, Predicted: A, Probability: 0.9990386633206885
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence584.csv_1: True Class: B, Predicted: A, Probability: 0.9999999922774185
Sequence585.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999885978
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.999999998421343
Sequence587.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999923112
Sequence588.csv_1: True Class: B, Predicted: A, Probability: 0.9162430082144852
Sequence589.csv_1: True Class: A, Predicted: B, Probability: 0.9999999917963734
Sequence59.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999992412
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 0.934483161835475
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence592.csv_1: True Class: A, Predicted: B, Probability: 0.6037587218824975
Sequence593.csv_1: True Class: A, Predicted: B, Probability: 0.9308878950510543
Sequence594.csv_1: True Class: B, Predicted: B, Probability: 0.9999999987737598
Sequence595.csv_1: True Class: B, Predicted: A, Probability: 0.9999873429610151
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999997916
Sequence597.csv_1: True Class: B, Predicted: B, Probability: 0.9986773069438929
Sequence598.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999512639
Sequence599.csv_1: True Class: B, Predicted: A, Probability: 0.9999980795399636
Sequence6.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999837843
Sequence60.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence600.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence601.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999794236
Sequence602.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence603.csv_1: True Class: A, Predicted: A, Probability: 0.9999999997080604
Sequence604.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999998066
Sequence605.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence606.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence607.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence608.csv_1: True Class: A, Predicted: B, Probability: 0.9685427030428305
Sequence609.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999999618
Sequence61.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence610.csv_1: True Class: B, Predicted: B, Probability: 0.9848088032933023
Sequence611.csv_1: True Class: B, Predicted: B, Probability: 0.9999999744109342
Sequence612.csv_1: True Class: B, Predicted: A, Probability: 1.0
Sequence613.csv_1: True Class: B, Predicted: B, Probability: 0.8401753936511243
Sequence614.csv_1: True Class: B, Predicted: A, Probability: 0.7578099542407438
Sequence615.csv_1: True Class: A, Predicted: B, Probability: 0.9999999997684715
Sequence616.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence617.csv_1: True Class: A, Predicted: A, Probability: 0.9997204649041833
Sequence618.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence619.csv_1: True Class: A, Predicted: A, Probability: 0.9999993161068208
Sequence62.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999993754
Sequence620.csv_1: True Class: A, Predicted: A, Probability: 0.999999999999548
Sequence621.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence622.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999966
Sequence623.csv_1: True Class: B, Predicted: A, Probability: 0.9228998686188293
Sequence624.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence625.csv_1: True Class: A, Predicted: A, Probability: 0.999778928910756
Sequence626.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999597199
Sequence627.csv_1: True Class: A, Predicted: B, Probability: 0.9999999942274169
Sequence628.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999976
Sequence629.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence63.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence630.csv_1: True Class: B, Predicted: B, Probability: 0.9999997601188583
Sequence631.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999990397
Sequence632.csv_1: True Class: A, Predicted: A, Probability: 0.9999573419316818
Sequence633.csv_1: True Class: B, Predicted: B, Probability: 0.9999953993460508
Sequence634.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999005827
Sequence635.csv_1: True Class: A, Predicted: B, Probability: 0.9854903899800989
Sequence636.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999994764
Sequence637.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence638.csv_1: True Class: B, Predicted: A, Probability: 0.6946968294807752
Sequence639.csv_1: True Class: A, Predicted: A, Probability: 0.9999094881048425
Sequence64.csv_1: True Class: A, Predicted: B, Probability: 0.9999999987530198
Sequence640.csv_1: True Class: A, Predicted: A, Probability: 1.0
