Sequence549.csv_1: True Class: A, Predicted: B, Probability: 0.9992920842460568
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.9999998571640595
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.9999999998567067
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9947854913563715
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999994
Sequence554.csv_1: True Class: A, Predicted: A, Probability: 0.9999999922628272
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999823
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.9999999959827734
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence56.csv_1: True Class: A, Predicted: B, Probability: 0.9999999417013378
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.9997150438717831
Sequence561.csv_1: True Class: B, Predicted: A, Probability: 0.9852895025176185
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.999999999999966
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999861524
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999746
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999768
Sequence567.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.9999999965066044
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999587562
Sequence57.csv_1: True Class: B, Predicted: B, Probability: 0.999953006545627
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999980673
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.9976311734442399
Sequence573.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999956904
