Sequence549.csv_1: True Class: A, Predicted: B, Probability: 0.9346462667905083
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.9582254691153175
Sequence550.csv_1: True Class: A, Predicted: B, Probability: 0.9780552817841134
Sequence551.csv_1: True Class: B, Predicted: A, Probability: 0.9979836631184362
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9999826643131828
Sequence553.csv_1: True Class: B, Predicted: A, Probability: 0.9826355957386937
Sequence554.csv_1: True Class: B, Predicted: A, Probability: 0.9998956767365774
Sequence555.csv_1: True Class: B, Predicted: B, Probability: 0.9964642071599787
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.7176471269701319
Sequence557.csv_1: True Class: A, Predicted: B, Probability: 0.9960663130487603
Sequence558.csv_1: True Class: B, Predicted: A, Probability: 0.9981464642719629
Sequence559.csv_1: True Class: B, Predicted: A, Probability: 0.988380612873892
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9998010294471029
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.8335249468550352
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.8354418851739751
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.994287226998846
Sequence563.csv_1: True Class: B, Predicted: A, Probability: 0.9978368012738251
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.6343320320133616
Sequence565.csv_1: True Class: B, Predicted: B, Probability: 0.9995119931427529
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9669486731373346
Sequence567.csv_1: True Class: B, Predicted: A, Probability: 0.9999999998208516
Sequence568.csv_1: True Class: A, Predicted: B, Probability: 0.6471863853931181
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.8893679943487596
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.9937056103265272
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.9999341875698484
Sequence571.csv_1: True Class: B, Predicted: A, Probability: 0.9983617984334859
Sequence572.csv_1: True Class: B, Predicted: B, Probability: 0.9007141938049468
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.9813352910815261
Sequence574.csv_1: True Class: A, Predicted: B, Probability: 0.744870324902847
Sequence575.csv_1: True Class: B, Predicted: B, Probability: 0.9999911120058784
Sequence576.csv_1: True Class: A, Predicted: B, Probability: 0.9995793142586655
Sequence577.csv_1: True Class: B, Predicted: A, Probability: 0.7706019064427067
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.9996422556424344
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.9998727385987713
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9562642312843016
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 0.9839421989050038
Sequence581.csv_1: True Class: B, Predicted: A, Probability: 0.9999930596157055
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.8804125141554073
Sequence583.csv_1: True Class: A, Predicted: B, Probability: 0.999898503775975
Sequence584.csv_1: True Class: A, Predicted: A, Probability: 0.9981480053814265
Sequence585.csv_1: True Class: B, Predicted: A, Probability: 0.9999947624610429
Sequence586.csv_1: True Class: B, Predicted: B, Probability: 0.9544908595708855
Sequence587.csv_1: True Class: A, Predicted: B, Probability: 0.9438108695018296
Sequence588.csv_1: True Class: A, Predicted: A, Probability: 0.5083856685043562
Sequence589.csv_1: True Class: A, Predicted: B, Probability: 0.8073085741559343
Sequence59.csv_1: True Class: A, Predicted: A, Probability: 0.997083827080605
Sequence590.csv_1: True Class: B, Predicted: B, Probability: 0.9538173653273009
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 0.897187707181444
Sequence592.csv_1: True Class: B, Predicted: A, Probability: 0.5853582223076891
Sequence593.csv_1: True Class: A, Predicted: B, Probability: 0.5866335381105175
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 0.9992479969228379
