Sequence549.csv_1: True Class: B, Predicted: B, Probability: 0.9992738368413883
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 0.9994968032622487
Sequence550.csv_1: True Class: B, Predicted: A, Probability: 0.9632305205011253
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 0.9999995490283
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9999999979007042
Sequence553.csv_1: True Class: A, Predicted: B, Probability: 0.9999998549476555
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 0.958200706405108
Sequence555.csv_1: True Class: A, Predicted: B, Probability: 0.9950150132186886
Sequence556.csv_1: True Class: B, Predicted: A, Probability: 0.9802647234158949
Sequence557.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999817
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.9986757443428597
Sequence559.csv_1: True Class: B, Predicted: B, Probability: 0.9997506759351182
Sequence56.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence560.csv_1: True Class: A, Predicted: B, Probability: 0.9849016097867744
Sequence561.csv_1: True Class: B, Predicted: A, Probability: 0.9999999995928678
Sequence562.csv_1: True Class: A, Predicted: B, Probability: 0.9996280702039286
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 0.9944839223707295
Sequence564.csv_1: True Class: B, Predicted: B, Probability: 0.9999949481562492
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.9999964602276465
Sequence566.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.9999992365753331
Sequence568.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999998961
Sequence569.csv_1: True Class: B, Predicted: B, Probability: 0.9999999987479867
Sequence57.csv_1: True Class: A, Predicted: B, Probability: 1.0
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.9999999998785682
Sequence571.csv_1: True Class: B, Predicted: B, Probability: 0.9999470665225406
Sequence572.csv_1: True Class: B, Predicted: B, Probability: 0.9999999945750494
Sequence573.csv_1: True Class: B, Predicted: A, Probability: 0.5056962388434102
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.9886860906722225
Sequence575.csv_1: True Class: A, Predicted: B, Probability: 0.9999999998838888
Sequence576.csv_1: True Class: B, Predicted: A, Probability: 0.9999981525583591
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.9999955461263461
Sequence578.csv_1: True Class: B, Predicted: A, Probability: 0.9999268815884139
Sequence579.csv_1: True Class: A, Predicted: B, Probability: 0.9413290508722306
Sequence58.csv_1: True Class: B, Predicted: B, Probability: 0.9706735193192864
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 0.9999999894395585
Sequence581.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.9999851915478825
