Sequence549.csv_1: True Class: C, Predicted: B, Probability: 0.9746926921089573
Sequence55.csv_1: True Class: A, Predicted: C, Probability: 0.9999995638353154
Sequence550.csv_1: True Class: B, Predicted: A, Probability: 0.7597778794338114
Sequence551.csv_1: True Class: A, Predicted: B, Probability: 0.8787611366674319
Sequence552.csv_1: True Class: B, Predicted: C, Probability: 0.9389241444399298
Sequence553.csv_1: True Class: A, Predicted: C, Probability: 0.9996796262153862
Sequence554.csv_1: True Class: C, Predicted: C, Probability: 0.9965712619738716
Sequence555.csv_1: True Class: B, Predicted: C, Probability: 0.9717638703112943
Sequence556.csv_1: True Class: C, Predicted: C, Probability: 0.9965965251321258
Sequence557.csv_1: True Class: C, Predicted: C, Probability: 0.9993190885586927
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.984237813227874
Sequence559.csv_1: True Class: B, Predicted: A, Probability: 0.9999850192860978
Sequence56.csv_1: True Class: B, Predicted: A, Probability: 0.9999997296794589
Sequence560.csv_1: True Class: B, Predicted: A, Probability: 0.8488288316078728
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.9843468317243662
Sequence562.csv_1: True Class: C, Predicted: A, Probability: 0.9660306639013915
Sequence563.csv_1: True Class: B, Predicted: A, Probability: 0.9862537271813774
Sequence564.csv_1: True Class: B, Predicted: A, Probability: 0.9987331286100168
Sequence565.csv_1: True Class: C, Predicted: B, Probability: 0.9964730883197014
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9993398766170019
Sequence567.csv_1: True Class: A, Predicted: C, Probability: 0.9999997198154588
Sequence568.csv_1: True Class: A, Predicted: C, Probability: 0.9982107179119106
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.9959891193873218
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.9999872942037505
Sequence570.csv_1: True Class: A, Predicted: C, Probability: 0.8839100129645739
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9701574933391046
Sequence572.csv_1: True Class: B, Predicted: A, Probability: 0.8994052873908547
Sequence573.csv_1: True Class: C, Predicted: A, Probability: 0.9970245460243464
Sequence574.csv_1: True Class: C, Predicted: C, Probability: 0.978493422725969
Sequence575.csv_1: True Class: C, Predicted: B, Probability: 0.9981641584429108
Sequence576.csv_1: True Class: C, Predicted: A, Probability: 0.8990775745622233
Sequence577.csv_1: True Class: B, Predicted: C, Probability: 0.9981593104047911
Sequence578.csv_1: True Class: B, Predicted: C, Probability: 0.8067785066980956
Sequence579.csv_1: True Class: B, Predicted: A, Probability: 0.9191278724393713
Sequence58.csv_1: True Class: B, Predicted: A, Probability: 0.9299513927316838
Sequence580.csv_1: True Class: C, Predicted: A, Probability: 0.9999990433577033
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9874981138747863
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.8296959727607041
Sequence583.csv_1: True Class: C, Predicted: C, Probability: 0.716433149511005
Sequence584.csv_1: True Class: C, Predicted: B, Probability: 0.5308788107096739
Sequence585.csv_1: True Class: C, Predicted: B, Probability: 0.9999591524124827
Sequence586.csv_1: True Class: B, Predicted: C, Probability: 0.9434833149573859
Sequence587.csv_1: True Class: B, Predicted: C, Probability: 0.9727872813124091
Sequence588.csv_1: True Class: C, Predicted: A, Probability: 0.9425302123286013
Sequence589.csv_1: True Class: B, Predicted: C, Probability: 0.791182250815635
Sequence59.csv_1: True Class: B, Predicted: C, Probability: 0.999226980611209
Sequence590.csv_1: True Class: C, Predicted: B, Probability: 0.9652419095199495
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 0.8132953192967936
Sequence592.csv_1: True Class: A, Predicted: A, Probability: 0.9999999986204765
Sequence593.csv_1: True Class: B, Predicted: C, Probability: 0.9987391332918197
Sequence594.csv_1: True Class: A, Predicted: B, Probability: 0.8204652329272899
Sequence595.csv_1: True Class: A, Predicted: B, Probability: 0.5924962115140615
Sequence596.csv_1: True Class: A, Predicted: B, Probability: 0.837762363869123
Sequence597.csv_1: True Class: C, Predicted: A, Probability: 0.9998836885648943
Sequence598.csv_1: True Class: B, Predicted: C, Probability: 0.733937601825393
Sequence599.csv_1: True Class: C, Predicted: C, Probability: 0.999950746342671
Sequence6.csv_1: True Class: B, Predicted: B, Probability: 0.998588761020152
Sequence60.csv_1: True Class: A, Predicted: B, Probability: 0.9847162692125548
Sequence600.csv_1: True Class: C, Predicted: A, Probability: 0.9999976444368744
Sequence601.csv_1: True Class: B, Predicted: A, Probability: 0.7106051016091766
Sequence602.csv_1: True Class: C, Predicted: B, Probability: 0.8722015539665847
Sequence603.csv_1: True Class: C, Predicted: B, Probability: 0.946223831561321
Sequence604.csv_1: True Class: C, Predicted: C, Probability: 0.9362839072578366
Sequence605.csv_1: True Class: C, Predicted: B, Probability: 0.9652298485082165
Sequence606.csv_1: True Class: A, Predicted: C, Probability: 0.930423616834903
Sequence607.csv_1: True Class: C, Predicted: B, Probability: 0.9982183159644848
Sequence608.csv_1: True Class: B, Predicted: B, Probability: 0.9807533613379552
Sequence609.csv_1: True Class: C, Predicted: B, Probability: 0.5205285516742478
Sequence61.csv_1: True Class: A, Predicted: C, Probability: 0.7988101697719239
Sequence610.csv_1: True Class: B, Predicted: C, Probability: 0.9999921682785042
Sequence611.csv_1: True Class: C, Predicted: C, Probability: 0.9999999289225493
Sequence612.csv_1: True Class: B, Predicted: A, Probability: 0.7660369937748047
Sequence613.csv_1: True Class: C, Predicted: B, Probability: 0.9817395279551496
Sequence614.csv_1: True Class: B, Predicted: A, Probability: 0.9982714783632529
Sequence615.csv_1: True Class: C, Predicted: C, Probability: 0.6316095782759569
Sequence616.csv_1: True Class: A, Predicted: A, Probability: 0.9917039578223097
Sequence617.csv_1: True Class: C, Predicted: C, Probability: 0.9999994424647688
Sequence618.csv_1: True Class: C, Predicted: B, Probability: 0.860516711239361
Sequence619.csv_1: True Class: C, Predicted: A, Probability: 0.8779660384739263
Sequence62.csv_1: True Class: C, Predicted: B, Probability: 0.9873165263425809
Sequence620.csv_1: True Class: B, Predicted: C, Probability: 0.9995827404600516
Sequence621.csv_1: True Class: C, Predicted: C, Probability: 0.9607782058106501
Sequence622.csv_1: True Class: C, Predicted: C, Probability: 0.855016096603198
Sequence623.csv_1: True Class: A, Predicted: C, Probability: 0.9803089790818422
Sequence624.csv_1: True Class: A, Predicted: C, Probability: 0.9815351240601187
Sequence625.csv_1: True Class: A, Predicted: B, Probability: 0.670830060621121
Sequence626.csv_1: True Class: B, Predicted: B, Probability: 0.9613696797437663
Sequence627.csv_1: True Class: C, Predicted: A, Probability: 0.968294144441359
Sequence628.csv_1: True Class: A, Predicted: B, Probability: 0.9359089710590639
Sequence629.csv_1: True Class: B, Predicted: C, Probability: 0.9733674106923906
Sequence63.csv_1: True Class: C, Predicted: B, Probability: 0.9999952127532635
Sequence630.csv_1: True Class: C, Predicted: C, Probability: 0.9151455776468251
Sequence631.csv_1: True Class: C, Predicted: C, Probability: 0.9716644649476869
Sequence632.csv_1: True Class: B, Predicted: A, Probability: 0.9999936441449532
Sequence633.csv_1: True Class: C, Predicted: A, Probability: 0.9999522946830373
Sequence634.csv_1: True Class: A, Predicted: C, Probability: 0.9996710691258254
Sequence635.csv_1: True Class: A, Predicted: A, Probability: 0.7823703732817799
Sequence636.csv_1: True Class: B, Predicted: C, Probability: 0.8501790324623131
Sequence637.csv_1: True Class: A, Predicted: B, Probability: 0.6848816781684552
Sequence638.csv_1: True Class: B, Predicted: C, Probability: 0.7050143765830726
Sequence639.csv_1: True Class: A, Predicted: C, Probability: 0.9769037434173875
Sequence64.csv_1: True Class: B, Predicted: A, Probability: 0.9157743434490171
Sequence640.csv_1: True Class: C, Predicted: C, Probability: 0.9999997091901855
Sequence641.csv_1: True Class: B, Predicted: A, Probability: 0.9832292310102041
Sequence642.csv_1: True Class: C, Predicted: A, Probability: 0.9992834795697975
Sequence643.csv_1: True Class: A, Predicted: B, Probability: 0.9982039148820504
Sequence644.csv_1: True Class: A, Predicted: C, Probability: 0.9920620355194413
Sequence645.csv_1: True Class: A, Predicted: A, Probability: 0.7927875275960454
Sequence646.csv_1: True Class: B, Predicted: C, Probability: 0.998660687096588
Sequence647.csv_1: True Class: A, Predicted: C, Probability: 0.8647041636925392
Sequence648.csv_1: True Class: C, Predicted: A, Probability: 0.9302724038091404
Sequence649.csv_1: True Class: C, Predicted: C, Probability: 0.998917715751737
Sequence65.csv_1: True Class: A, Predicted: A, Probability: 0.9999994341946948
Sequence650.csv_1: True Class: C, Predicted: C, Probability: 0.9654649885471767
Sequence651.csv_1: True Class: A, Predicted: A, Probability: 0.9990679107760303
Sequence652.csv_1: True Class: C, Predicted: C, Probability: 0.9999995461529518
Sequence653.csv_1: True Class: A, Predicted: C, Probability: 0.9901006999446463
Sequence654.csv_1: True Class: A, Predicted: C, Probability: 0.4740798371717137
Sequence655.csv_1: True Class: B, Predicted: C, Probability: 0.9999999995477259
Sequence656.csv_1: True Class: A, Predicted: C, Probability: 0.7976189971750884
Sequence657.csv_1: True Class: A, Predicted: A, Probability: 0.995096311344522
Sequence658.csv_1: True Class: C, Predicted: C, Probability: 0.8751955329850422
Sequence659.csv_1: True Class: B, Predicted: A, Probability: 0.7648213809122201
Sequence66.csv_1: True Class: C, Predicted: B, Probability: 0.7397951990319209
Sequence660.csv_1: True Class: C, Predicted: B, Probability: 0.9195473108414932
Sequence661.csv_1: True Class: B, Predicted: A, Probability: 0.7815816060785482
Sequence662.csv_1: True Class: C, Predicted: A, Probability: 0.8260397867915121
Sequence663.csv_1: True Class: A, Predicted: C, Probability: 0.7104210494310562
Sequence664.csv_1: True Class: A, Predicted: B, Probability: 0.9999997849972048
Sequence665.csv_1: True Class: B, Predicted: A, Probability: 0.9917934278557822
Sequence666.csv_1: True Class: A, Predicted: C, Probability: 0.9985186950986339
Sequence667.csv_1: True Class: A, Predicted: C, Probability: 0.9966850119597644
Sequence668.csv_1: True Class: A, Predicted: B, Probability: 0.9217112656608109
