FP-Rate;TP-Rate;
0.0;0.0;
0.004;0.0;
0.004;0.004;
0.008;0.004;
0.008;0.008;
0.008;0.012;
0.008;0.016;
0.008;0.02;
0.008;0.024;
0.008;0.028;
0.012;0.028;
0.012;0.032;
0.012;0.036;
0.012;0.04;
0.016;0.04;
0.02;0.04;
0.02;0.044;
0.02;0.048;
0.02;0.052;
0.024;0.052;
0.024;0.056;
0.024;0.06;
0.024;0.064;
0.024;0.068;
0.028;0.068;
0.032;0.068;
0.032;0.072;
0.032;0.076;
0.036;0.076;
0.036;0.08;
0.04;0.08;
0.04;0.084;
0.04;0.088;
0.04;0.092;
0.044;0.092;
0.048;0.092;
0.048;0.096;
0.052;0.096;
0.056;0.096;
0.06;0.096;
0.064;0.096;
0.064;0.1;
0.064;0.104;
0.068;0.104;
0.072;0.104;
0.072;0.108;
0.072;0.112;
0.072;0.116;
0.072;0.12;
0.076;0.12;
0.08;0.12;
0.08;0.124;
0.084;0.124;
0.084;0.128;
0.088;0.128;
0.092;0.128;
0.096;0.128;
0.096;0.132;
0.1;0.132;
0.104;0.132;
0.104;0.136;
0.104;0.14;
0.104;0.144;
0.104;0.148;
0.104;0.152;
0.108;0.152;
0.108;0.156;
0.108;0.16;
0.112;0.16;
0.112;0.164;
0.112;0.168;
0.116;0.168;
0.116;0.172;
0.12;0.172;
0.12;0.176;
0.124;0.176;
0.128;0.176;
0.128;0.18;
0.128;0.184;
0.132;0.184;
0.132;0.188;
0.132;0.192;
0.136;0.192;
0.136;0.196;
0.14;0.196;
0.14;0.2;
0.14;0.204;
0.14;0.208;
0.14;0.212;
0.14;0.216;
0.144;0.216;
0.144;0.22;
0.148;0.22;
0.152;0.22;
0.156;0.22;
0.156;0.224;
0.16;0.224;
0.16;0.228;
0.16;0.232;
0.16;0.236;
0.164;0.236;
0.168;0.236;
0.168;0.24;
0.168;0.244;
0.172;0.244;
0.176;0.244;
0.176;0.248;
0.18;0.248;
0.18;0.252;
0.18;0.256;
0.184;0.256;
0.184;0.26;
0.188;0.26;
0.192;0.26;
0.196;0.26;
0.2;0.26;
0.2;0.264;
0.2;0.268;
0.2;0.272;
0.204;0.272;
0.204;0.276;
0.204;0.28;
0.208;0.28;
0.208;0.284;
0.212;0.284;
0.216;0.284;
0.216;0.288;
0.22;0.288;
0.224;0.288;
0.228;0.288;
0.232;0.288;
0.236;0.288;
0.236;0.292;
0.24;0.292;
0.244;0.292;
0.248;0.292;
0.248;0.296;
0.252;0.296;
0.252;0.3;
0.252;0.304;
0.256;0.304;
0.26;0.304;
0.264;0.304;
0.264;0.308;
0.268;0.308;
0.268;0.312;
0.268;0.316;
0.268;0.32;
0.268;0.324;
0.272;0.324;
0.272;0.328;
0.272;0.332;
0.276;0.332;
0.28;0.332;
0.284;0.332;
0.288;0.332;
0.292;0.332;
0.296;0.332;
0.296;0.336;
0.3;0.336;
0.3;0.34;
0.304;0.34;
0.308;0.34;
0.312;0.34;
0.312;0.344;
0.312;0.348;
0.312;0.352;
0.312;0.356;
0.316;0.356;
0.32;0.356;
0.32;0.36;
0.32;0.364;
0.324;0.364;
0.328;0.364;
0.328;0.368;
0.332;0.368;
0.336;0.368;
0.34;0.368;
0.344;0.368;
0.344;0.372;
0.344;0.376;
0.348;0.376;
0.348;0.38;
0.352;0.38;
0.356;0.38;
0.356;0.384;
0.356;0.388;
0.36;0.388;
0.364;0.388;
0.364;0.392;
0.364;0.396;
0.364;0.4;
0.364;0.404;
0.368;0.404;
0.368;0.408;
0.372;0.408;
0.372;0.412;
0.372;0.416;
0.372;0.42;
0.376;0.42;
0.38;0.42;
0.38;0.424;
0.38;0.428;
0.38;0.432;
0.38;0.436;
0.38;0.44;
0.38;0.444;
0.38;0.448;
0.38;0.452;
0.38;0.456;
0.38;0.46;
0.38;0.464;
0.38;0.468;
0.38;0.472;
0.384;0.472;
0.388;0.472;
0.388;0.476;
0.392;0.476;
0.392;0.48;
0.396;0.48;
0.396;0.484;
0.396;0.488;
0.396;0.492;
0.396;0.496;
0.396;0.5;
0.396;0.504;
0.4;0.504;
0.404;0.504;
0.404;0.508;
0.404;0.512;
0.408;0.512;
0.408;0.516;
0.408;0.52;
0.412;0.52;
0.416;0.52;
0.416;0.524;
0.42;0.524;
0.424;0.524;
0.428;0.524;
0.432;0.524;
0.432;0.528;
0.432;0.532;
0.436;0.532;
0.436;0.536;
0.436;0.54;
0.44;0.54;
0.44;0.544;
0.44;0.548;
0.444;0.548;
0.448;0.548;
0.452;0.548;
0.456;0.548;
0.46;0.548;
0.464;0.548;
0.464;0.552;
0.464;0.556;
0.464;0.56;
0.464;0.564;
0.468;0.564;
0.468;0.568;
0.472;0.568;
0.472;0.572;
0.472;0.576;
0.476;0.576;
0.48;0.576;
0.484;0.576;
0.488;0.576;
0.492;0.576;
0.496;0.576;
0.5;0.576;
0.504;0.576;
0.504;0.58;
0.504;0.584;
0.504;0.588;
0.504;0.592;
0.508;0.592;
0.512;0.592;
0.512;0.596;
0.512;0.6;
0.516;0.6;
0.52;0.6;
0.524;0.6;
0.528;0.6;
0.528;0.604;
0.532;0.604;
0.536;0.604;
0.54;0.604;
0.544;0.604;
0.548;0.604;
0.548;0.608;
0.552;0.608;
0.552;0.612;
0.552;0.616;
0.556;0.616;
0.556;0.62;
0.56;0.62;
0.56;0.624;
0.56;0.628;
0.564;0.628;
0.568;0.628;
0.568;0.632;
0.572;0.632;
0.572;0.636;
0.572;0.64;
0.572;0.644;
0.572;0.648;
0.572;0.652;
0.572;0.656;
0.576;0.656;
0.576;0.66;
0.58;0.66;
0.58;0.664;
0.584;0.664;
0.588;0.664;
0.588;0.668;
0.588;0.672;
0.588;0.676;
0.592;0.676;
0.596;0.676;
0.596;0.68;
0.6;0.68;
0.604;0.68;
0.608;0.68;
0.608;0.684;
0.612;0.684;
0.616;0.684;
0.62;0.684;
0.62;0.688;
0.624;0.688;
0.628;0.688;
0.632;0.688;
0.632;0.692;
0.632;0.696;
0.636;0.696;
0.64;0.696;
0.64;0.7;
0.64;0.704;
0.64;0.708;
0.64;0.712;
0.644;0.712;
0.644;0.716;
0.648;0.716;
0.652;0.716;
0.656;0.716;
0.66;0.716;
0.66;0.72;
0.66;0.724;
0.664;0.724;
0.668;0.724;
0.668;0.728;
0.672;0.728;
0.672;0.732;
0.676;0.732;
0.676;0.736;
0.68;0.736;
0.684;0.736;
0.688;0.736;
0.688;0.74;
0.688;0.744;
0.688;0.748;
0.688;0.752;
0.692;0.752;
0.696;0.752;
0.7;0.752;
0.7;0.756;
0.704;0.756;
0.704;0.76;
0.704;0.764;
0.708;0.764;
0.712;0.764;
0.716;0.764;
0.716;0.768;
0.716;0.772;
0.72;0.772;
0.72;0.776;
0.72;0.78;
0.72;0.784;
0.724;0.784;
0.724;0.788;
0.724;0.792;
0.728;0.792;
0.728;0.796;
0.728;0.8;
0.732;0.8;
0.736;0.8;
0.736;0.804;
0.736;0.808;
0.736;0.812;
0.736;0.816;
0.736;0.82;
0.74;0.82;
