Sequence549.csv_1: True Class: A, Predicted: C, Probability: 0.5654182882297617
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence550.csv_1: True Class: C, Predicted: B, Probability: 0.9999943303158497
Sequence551.csv_1: True Class: C, Predicted: B, Probability: 0.9999999901987728
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9999957305991726
Sequence553.csv_1: True Class: B, Predicted: B, Probability: 0.7837646807843285
Sequence554.csv_1: True Class: A, Predicted: B, Probability: 0.9992526150390406
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.9633583859358221
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.9993072400854679
Sequence557.csv_1: True Class: A, Predicted: B, Probability: 0.9999977520890803
Sequence558.csv_1: True Class: B, Predicted: A, Probability: 0.8504853638898093
Sequence559.csv_1: True Class: C, Predicted: A, Probability: 0.6144299334077902
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9999992589234524
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.9996597417138394
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.9998505905694972
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.9999880574812102
Sequence563.csv_1: True Class: A, Predicted: B, Probability: 0.9999085637477305
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9998182070373591
Sequence565.csv_1: True Class: B, Predicted: B, Probability: 0.9595080717018925
Sequence566.csv_1: True Class: C, Predicted: B, Probability: 0.9999993158299194
Sequence567.csv_1: True Class: A, Predicted: B, Probability: 0.9999944285051164
Sequence568.csv_1: True Class: B, Predicted: B, Probability: 0.9995775987642525
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9953396661170139
Sequence57.csv_1: True Class: C, Predicted: C, Probability: 0.9855676399753605
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.952365296067507
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9999999578041425
Sequence572.csv_1: True Class: B, Predicted: C, Probability: 0.9988789490658038
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.9950354179031488
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.9998253382290504
Sequence575.csv_1: True Class: B, Predicted: A, Probability: 0.7875679223885426
Sequence576.csv_1: True Class: C, Predicted: A, Probability: 0.6988150859537667
Sequence577.csv_1: True Class: A, Predicted: A, Probability: 0.9999378473469276
Sequence578.csv_1: True Class: A, Predicted: B, Probability: 0.9999940135487436
Sequence579.csv_1: True Class: A, Predicted: C, Probability: 0.8734792541067753
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.673509954463982
Sequence580.csv_1: True Class: A, Predicted: B, Probability: 0.99401412557255
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999998358
Sequence582.csv_1: True Class: C, Predicted: A, Probability: 0.9997961730011428
Sequence583.csv_1: True Class: B, Predicted: A, Probability: 0.9699416635980669
Sequence584.csv_1: True Class: C, Predicted: B, Probability: 0.9999693253530377
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 0.9967150162633935
Sequence586.csv_1: True Class: A, Predicted: B, Probability: 0.9970000249015213
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 0.9999951413142938
Sequence588.csv_1: True Class: B, Predicted: B, Probability: 0.9974177449594557
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9768492410143969
Sequence59.csv_1: True Class: A, Predicted: B, Probability: 0.9975189673417613
Sequence590.csv_1: True Class: C, Predicted: C, Probability: 0.9924420915572755
Sequence591.csv_1: True Class: A, Predicted: B, Probability: 0.9999780783052847
Sequence592.csv_1: True Class: C, Predicted: B, Probability: 0.9999999999999752
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9999402716543756
Sequence594.csv_1: True Class: C, Predicted: A, Probability: 0.9999806610315323
Sequence595.csv_1: True Class: A, Predicted: B, Probability: 0.5860867622140048
Sequence596.csv_1: True Class: A, Predicted: C, Probability: 0.91437418941208
Sequence597.csv_1: True Class: C, Predicted: C, Probability: 0.9844276729325157
Sequence598.csv_1: True Class: B, Predicted: C, Probability: 0.9999998514961284
Sequence599.csv_1: True Class: C, Predicted: A, Probability: 0.9999986493754035
Sequence6.csv_1: True Class: A, Predicted: C, Probability: 0.9999998766113627
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 0.854278162181478
Sequence600.csv_1: True Class: B, Predicted: A, Probability: 0.9899590197049298
Sequence601.csv_1: True Class: C, Predicted: B, Probability: 0.9999992473466537
Sequence602.csv_1: True Class: B, Predicted: C, Probability: 0.9827255298924472
Sequence603.csv_1: True Class: C, Predicted: A, Probability: 0.9307376857277548
Sequence604.csv_1: True Class: B, Predicted: C, Probability: 0.9981056174424546
Sequence605.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999981155
Sequence606.csv_1: True Class: B, Predicted: B, Probability: 0.999999999995052
Sequence607.csv_1: True Class: B, Predicted: C, Probability: 0.9730285845359085
Sequence608.csv_1: True Class: B, Predicted: B, Probability: 0.77847888031784
Sequence609.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence61.csv_1: True Class: C, Predicted: B, Probability: 0.9999999998635684
Sequence610.csv_1: True Class: C, Predicted: B, Probability: 0.9999975063662552
Sequence611.csv_1: True Class: B, Predicted: B, Probability: 0.9999963591448041
Sequence612.csv_1: True Class: A, Predicted: B, Probability: 0.5684453102942302
Sequence613.csv_1: True Class: C, Predicted: B, Probability: 0.9999997933267528
Sequence614.csv_1: True Class: C, Predicted: A, Probability: 0.6131623961301321
Sequence615.csv_1: True Class: C, Predicted: B, Probability: 0.999967959225688
Sequence616.csv_1: True Class: C, Predicted: C, Probability: 0.9988636852459531
Sequence617.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999665
Sequence618.csv_1: True Class: A, Predicted: A, Probability: 0.9945313165090873
Sequence619.csv_1: True Class: C, Predicted: C, Probability: 0.9999999500005473
Sequence62.csv_1: True Class: C, Predicted: B, Probability: 0.9997822477846083
Sequence620.csv_1: True Class: B, Predicted: A, Probability: 0.999942353967398
Sequence621.csv_1: True Class: B, Predicted: B, Probability: 0.9927865344558976
Sequence622.csv_1: True Class: C, Predicted: A, Probability: 0.9997957037658477
Sequence623.csv_1: True Class: A, Predicted: B, Probability: 0.9712272340652681
Sequence624.csv_1: True Class: C, Predicted: C, Probability: 0.9265748264241817
Sequence625.csv_1: True Class: B, Predicted: A, Probability: 0.8259674528825743
Sequence626.csv_1: True Class: A, Predicted: B, Probability: 0.9999850766009173
Sequence627.csv_1: True Class: B, Predicted: A, Probability: 0.9997680152839897
Sequence628.csv_1: True Class: B, Predicted: B, Probability: 0.9999999724797732
Sequence629.csv_1: True Class: A, Predicted: C, Probability: 0.6902278301389243
Sequence63.csv_1: True Class: A, Predicted: B, Probability: 0.999999922302945
Sequence630.csv_1: True Class: B, Predicted: B, Probability: 0.9450321018176433
Sequence631.csv_1: True Class: B, Predicted: B, Probability: 0.9999999971238545
Sequence632.csv_1: True Class: A, Predicted: C, Probability: 0.9999999593114877
Sequence633.csv_1: True Class: C, Predicted: B, Probability: 0.99999999885307
Sequence634.csv_1: True Class: A, Predicted: C, Probability: 0.7727744000989869
Sequence635.csv_1: True Class: B, Predicted: C, Probability: 0.9486263551889893
Sequence636.csv_1: True Class: A, Predicted: A, Probability: 0.9978470785520871
Sequence637.csv_1: True Class: A, Predicted: A, Probability: 0.9999999968011059
Sequence638.csv_1: True Class: A, Predicted: A, Probability: 0.9999997253536447
Sequence639.csv_1: True Class: B, Predicted: B, Probability: 0.9998786852688563
Sequence64.csv_1: True Class: B, Predicted: B, Probability: 0.9990194825202781
Sequence640.csv_1: True Class: A, Predicted: B, Probability: 0.9999919543102309
Sequence641.csv_1: True Class: A, Predicted: A, Probability: 0.9826957079894507
Sequence642.csv_1: True Class: A, Predicted: B, Probability: 0.9995571700921234
Sequence643.csv_1: True Class: A, Predicted: B, Probability: 0.9618981968430833
Sequence644.csv_1: True Class: C, Predicted: A, Probability: 0.9999887800468343
Sequence645.csv_1: True Class: A, Predicted: A, Probability: 0.9992574378477174
Sequence646.csv_1: True Class: A, Predicted: C, Probability: 0.896016779071711
Sequence647.csv_1: True Class: C, Predicted: C, Probability: 0.999950364415402
Sequence648.csv_1: True Class: B, Predicted: C, Probability: 0.9999999257893224
Sequence649.csv_1: True Class: A, Predicted: A, Probability: 0.9999944789419273
Sequence65.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999998674
Sequence650.csv_1: True Class: B, Predicted: A, Probability: 0.9999396885059993
Sequence651.csv_1: True Class: A, Predicted: A, Probability: 0.999993518746202
Sequence652.csv_1: True Class: B, Predicted: B, Probability: 0.9999095812950943
Sequence653.csv_1: True Class: A, Predicted: B, Probability: 0.9999602219362149
Sequence654.csv_1: True Class: C, Predicted: B, Probability: 0.9861209787932464
Sequence655.csv_1: True Class: A, Predicted: B, Probability: 0.8209830390978388
Sequence656.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999771
Sequence657.csv_1: True Class: B, Predicted: B, Probability: 0.9997660258404996
Sequence658.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999978
Sequence659.csv_1: True Class: C, Predicted: B, Probability: 0.9999942956557708
Sequence66.csv_1: True Class: C, Predicted: C, Probability: 0.8249721822072378
Sequence660.csv_1: True Class: B, Predicted: B, Probability: 0.9216572181757902
Sequence661.csv_1: True Class: B, Predicted: A, Probability: 0.9999793532392346
Sequence662.csv_1: True Class: B, Predicted: A, Probability: 0.583492228712539
Sequence663.csv_1: True Class: C, Predicted: B, Probability: 0.9999999999999915
Sequence664.csv_1: True Class: C, Predicted: B, Probability: 0.9452193365610732
Sequence665.csv_1: True Class: B, Predicted: B, Probability: 0.9960737971955472
Sequence666.csv_1: True Class: C, Predicted: A, Probability: 0.9999999645980079
Sequence667.csv_1: True Class: A, Predicted: A, Probability: 0.9997931002087582
Sequence668.csv_1: True Class: C, Predicted: B, Probability: 0.9983733660789327
Sequence669.csv_1: True Class: A, Predicted: A, Probability: 0.9578707882109838
Sequence67.csv_1: True Class: C, Predicted: C, Probability: 0.9708830042484142
Sequence670.csv_1: True Class: B, Predicted: B, Probability: 0.9194064662258062
Sequence671.csv_1: True Class: A, Predicted: A, Probability: 0.9999931898214249
Sequence672.csv_1: True Class: C, Predicted: C, Probability: 0.9999987611946325
Sequence673.csv_1: True Class: A, Predicted: B, Probability: 0.992838526656729
Sequence674.csv_1: True Class: A, Predicted: A, Probability: 0.9976617596603434
Sequence675.csv_1: True Class: A, Predicted: A, Probability: 0.49030036386475334
Sequence676.csv_1: True Class: C, Predicted: A, Probability: 0.9930517833797566
Sequence677.csv_1: True Class: B, Predicted: A, Probability: 0.9998923878050563
Sequence678.csv_1: True Class: B, Predicted: B, Probability: 0.9999999222672074
Sequence679.csv_1: True Class: B, Predicted: C, Probability: 0.9988791194716784
Sequence68.csv_1: True Class: A, Predicted: A, Probability: 0.9999949571652335
Sequence680.csv_1: True Class: C, Predicted: C, Probability: 0.9999999999923325
Sequence681.csv_1: True Class: C, Predicted: B, Probability: 0.9999965652401013
Sequence682.csv_1: True Class: C, Predicted: B, Probability: 0.9999999831429586
Sequence683.csv_1: True Class: C, Predicted: C, Probability: 0.9999682475665326
Sequence684.csv_1: True Class: B, Predicted: C, Probability: 0.9999998333984567
Sequence685.csv_1: True Class: B, Predicted: C, Probability: 0.8754372156146272
Sequence686.csv_1: True Class: A, Predicted: B, Probability: 0.9841060357895142
Sequence687.csv_1: True Class: C, Predicted: B, Probability: 0.9969991842285004
Sequence688.csv_1: True Class: C, Predicted: C, Probability: 0.9999964271595536
Sequence689.csv_1: True Class: C, Predicted: C, Probability: 1.0
Sequence69.csv_1: True Class: B, Predicted: C, Probability: 0.9999999662202251
Sequence690.csv_1: True Class: B, Predicted: A, Probability: 0.9556086407028058
Sequence691.csv_1: True Class: A, Predicted: A, Probability: 0.5258156910001671
Sequence692.csv_1: True Class: A, Predicted: B, Probability: 0.9640889433997109
Sequence693.csv_1: True Class: B, Predicted: A, Probability: 0.9999991359769823
Sequence694.csv_1: True Class: C, Predicted: B, Probability: 0.8038735191204365
Sequence695.csv_1: True Class: A, Predicted: A, Probability: 0.8812742187648325
Sequence696.csv_1: True Class: C, Predicted: B, Probability: 0.999595703114095
Sequence697.csv_1: True Class: A, Predicted: A, Probability: 0.5414254635457764
Sequence698.csv_1: True Class: A, Predicted: A, Probability: 0.9998108994830005
Sequence699.csv_1: True Class: B, Predicted: C, Probability: 0.9995544572256279
Sequence7.csv_1: True Class: A, Predicted: B, Probability: 0.9992480024993798
Sequence70.csv_1: True Class: A, Predicted: B, Probability: 0.9671856691592327
Sequence700.csv_1: True Class: B, Predicted: A, Probability: 0.9999939192616181
Sequence701.csv_1: True Class: B, Predicted: B, Probability: 0.6503041645278707
Sequence702.csv_1: True Class: A, Predicted: B, Probability: 0.9999388661957604
Sequence703.csv_1: True Class: C, Predicted: C, Probability: 0.999751103402434
Sequence704.csv_1: True Class: C, Predicted: A, Probability: 0.9788020338182191
Sequence705.csv_1: True Class: A, Predicted: A, Probability: 0.9943747849808638
Sequence706.csv_1: True Class: B, Predicted: C, Probability: 0.9999945053176528
Sequence707.csv_1: True Class: B, Predicted: B, Probability: 0.9999431617621583
Sequence708.csv_1: True Class: A, Predicted: A, Probability: 0.9999066267352599
Sequence709.csv_1: True Class: A, Predicted: A, Probability: 0.9999999275225192
Sequence71.csv_1: True Class: A, Predicted: B, Probability: 0.951663491047111
Sequence710.csv_1: True Class: A, Predicted: B, Probability: 0.9999999843376796
Sequence711.csv_1: True Class: B, Predicted: C, Probability: 0.6161457565330171
Sequence712.csv_1: True Class: B, Predicted: B, Probability: 0.9996770011274466
Sequence713.csv_1: True Class: B, Predicted: B, Probability: 0.9988499425323433
Sequence714.csv_1: True Class: C, Predicted: B, Probability: 0.9997526172036781
Sequence715.csv_1: True Class: C, Predicted: C, Probability: 0.8303901893464717
Sequence716.csv_1: True Class: B, Predicted: A, Probability: 0.9999969892892309
Sequence717.csv_1: True Class: A, Predicted: A, Probability: 0.9999986238121025
Sequence718.csv_1: True Class: A, Predicted: B, Probability: 0.9999999992103528
Sequence719.csv_1: True Class: A, Predicted: A, Probability: 0.9999404966717982
Sequence72.csv_1: True Class: C, Predicted: B, Probability: 0.99999794514144
Sequence720.csv_1: True Class: A, Predicted: B, Probability: 0.8554998443024897
Sequence721.csv_1: True Class: A, Predicted: A, Probability: 0.9107642294250808
Sequence722.csv_1: True Class: A, Predicted: A, Probability: 0.9929879060204722
Sequence723.csv_1: True Class: A, Predicted: B, Probability: 0.6101194742938839
Sequence724.csv_1: True Class: A, Predicted: C, Probability: 0.9999863972222163
Sequence725.csv_1: True Class: A, Predicted: A, Probability: 0.9999927564159568
Sequence726.csv_1: True Class: A, Predicted: A, Probability: 0.6522256660565139
Sequence727.csv_1: True Class: A, Predicted: B, Probability: 0.9992725402471901
Sequence728.csv_1: True Class: A, Predicted: A, Probability: 0.9999999973128796
Sequence729.csv_1: True Class: A, Predicted: A, Probability: 0.999815438577287
Sequence73.csv_1: True Class: B, Predicted: A, Probability: 0.999999716986853
Sequence730.csv_1: True Class: A, Predicted: A, Probability: 0.9999999319100575
Sequence731.csv_1: True Class: A, Predicted: A, Probability: 0.9984974162745748
Sequence732.csv_1: True Class: B, Predicted: C, Probability: 0.6129219204223203
Sequence733.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999275425
Sequence734.csv_1: True Class: A, Predicted: B, Probability: 0.9987629002809854
Sequence735.csv_1: True Class: B, Predicted: B, Probability: 0.9806733556486172
Sequence736.csv_1: True Class: C, Predicted: C, Probability: 0.9999999999905529
Sequence737.csv_1: True Class: C, Predicted: B, Probability: 0.9186470188536103
Sequence738.csv_1: True Class: B, Predicted: A, Probability: 0.8231161345498084
Sequence739.csv_1: True Class: C, Predicted: B, Probability: 0.9999563519178197
Sequence74.csv_1: True Class: C, Predicted: A, Probability: 0.9324875867628158
Sequence740.csv_1: True Class: A, Predicted: A, Probability: 0.9967263892576043
Sequence741.csv_1: True Class: A, Predicted: A, Probability: 0.9999999992821322
Sequence742.csv_1: True Class: B, Predicted: B, Probability: 0.7121413320212461
Sequence743.csv_1: True Class: B, Predicted: A, Probability: 0.9999971967670369
Sequence744.csv_1: True Class: C, Predicted: C, Probability: 0.9980920357810498
Sequence745.csv_1: True Class: A, Predicted: B, Probability: 0.9999999985834926
Sequence746.csv_1: True Class: C, Predicted: B, Probability: 0.9986347663592431
Sequence747.csv_1: True Class: A, Predicted: A, Probability: 0.9916894102751315
Sequence748.csv_1: True Class: B, Predicted: C, Probability: 0.9999963320008877
Sequence749.csv_1: True Class: A, Predicted: A, Probability: 0.9999999948473067
Sequence75.csv_1: True Class: A, Predicted: A, Probability: 0.9998328979646723
Sequence750.csv_1: True Class: A, Predicted: C, Probability: 0.7176119951168896
Sequence751.csv_1: True Class: C, Predicted: B, Probability: 0.9998787810720662
Sequence752.csv_1: True Class: A, Predicted: A, Probability: 0.9993954196512189
Sequence753.csv_1: True Class: C, Predicted: A, Probability: 0.9999999333970264
Sequence754.csv_1: True Class: C, Predicted: C, Probability: 0.9653496813416534
Sequence755.csv_1: True Class: B, Predicted: A, Probability: 0.6247281001823676
Sequence756.csv_1: True Class: B, Predicted: B, Probability: 0.9998405714233704
Sequence757.csv_1: True Class: A, Predicted: A, Probability: 0.9967543409639917
Sequence758.csv_1: True Class: A, Predicted: A, Probability: 0.9999999967197342
Sequence759.csv_1: True Class: A, Predicted: B, Probability: 0.9999999875750352
Sequence76.csv_1: True Class: A, Predicted: A, Probability: 0.7810863779783908
Sequence760.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999101554
Sequence761.csv_1: True Class: A, Predicted: B, Probability: 0.9977605288309591
Sequence762.csv_1: True Class: C, Predicted: C, Probability: 0.914024337441674
Sequence763.csv_1: True Class: C, Predicted: C, Probability: 0.9468286505623731
Sequence764.csv_1: True Class: B, Predicted: A, Probability: 0.944936815724585
Sequence765.csv_1: True Class: B, Predicted: B, Probability: 0.9949083838100251
Sequence766.csv_1: True Class: A, Predicted: A, Probability: 0.807116180583494
Sequence767.csv_1: True Class: A, Predicted: B, Probability: 0.7590070570410714
Sequence768.csv_1: True Class: A, Predicted: C, Probability: 0.9818963122778722
Sequence769.csv_1: True Class: A, Predicted: B, Probability: 0.8413567238042134
Sequence77.csv_1: True Class: B, Predicted: B, Probability: 0.9999963788973111
Sequence770.csv_1: True Class: C, Predicted: C, Probability: 0.9999999962554226
Sequence771.csv_1: True Class: A, Predicted: B, Probability: 0.9999996211037647
Sequence772.csv_1: True Class: C, Predicted: C, Probability: 0.9999997172384856
Sequence773.csv_1: True Class: B, Predicted: B, Probability: 0.9999440364682182
Sequence774.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999963788
Sequence775.csv_1: True Class: A, Predicted: A, Probability: 0.9998888118692099
Sequence776.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999683813
Sequence777.csv_1: True Class: A, Predicted: B, Probability: 0.999997242083669
Sequence778.csv_1: True Class: C, Predicted: C, Probability: 0.9999897370547748
Sequence779.csv_1: True Class: A, Predicted: A, Probability: 0.9985294759154376
Sequence78.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999288925
Sequence780.csv_1: True Class: B, Predicted: A, Probability: 0.5908573283312067
Sequence781.csv_1: True Class: A, Predicted: C, Probability: 0.999971662525455
Sequence782.csv_1: True Class: B, Predicted: B, Probability: 0.9301971332008518
Sequence783.csv_1: True Class: C, Predicted: C, Probability: 0.9999998499214356
Sequence784.csv_1: True Class: A, Predicted: A, Probability: 0.9998206555466641
Sequence785.csv_1: True Class: A, Predicted: A, Probability: 0.9916576943902349
Sequence786.csv_1: True Class: A, Predicted: B, Probability: 0.9955672524989134
Sequence787.csv_1: True Class: A, Predicted: B, Probability: 0.9999757351088658
Sequence788.csv_1: True Class: C, Predicted: B, Probability: 0.9889837157828658
Sequence789.csv_1: True Class: B, Predicted: B, Probability: 0.9999999998757764
Sequence79.csv_1: True Class: B, Predicted: C, Probability: 0.8288685332748147
Sequence790.csv_1: True Class: B, Predicted: A, Probability: 0.9733510927150403
Sequence791.csv_1: True Class: A, Predicted: B, Probability: 0.9999999490799805
Sequence792.csv_1: True Class: A, Predicted: B, Probability: 0.9999154490866203
Sequence793.csv_1: True Class: A, Predicted: A, Probability: 0.9740579150404779
Sequence794.csv_1: True Class: B, Predicted: B, Probability: 0.9924766315163426
Sequence795.csv_1: True Class: B, Predicted: B, Probability: 0.9999930202540043
Sequence796.csv_1: True Class: B, Predicted: A, Probability: 0.6555881294318382
Sequence797.csv_1: True Class: A, Predicted: B, Probability: 0.9994387813664473
Sequence798.csv_1: True Class: B, Predicted: A, Probability: 0.9991263638504578
Sequence799.csv_1: True Class: A, Predicted: A, Probability: 0.9965976125277377
Sequence8.csv_1: True Class: A, Predicted: B, Probability: 0.9989544718074883
Sequence80.csv_1: True Class: C, Predicted: C, Probability: 0.8439394195886163
Sequence800.csv_1: True Class: A, Predicted: A, Probability: 0.999904447625879
Sequence801.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence802.csv_1: True Class: A, Predicted: B, Probability: 0.9968463245458593
Sequence803.csv_1: True Class: A, Predicted: B, Probability: 0.999999999999333
Sequence804.csv_1: True Class: A, Predicted: B, Probability: 0.9988616440207705
Sequence805.csv_1: True Class: C, Predicted: C, Probability: 0.9999999388302688
Sequence806.csv_1: True Class: B, Predicted: A, Probability: 0.7755174323016248
Sequence807.csv_1: True Class: B, Predicted: B, Probability: 0.9898955944534346
Sequence808.csv_1: True Class: A, Predicted: A, Probability: 0.9999999531269232
Sequence809.csv_1: True Class: B, Predicted: C, Probability: 0.9994633169044269
Sequence81.csv_1: True Class: C, Predicted: C, Probability: 0.9999583568016325
Sequence810.csv_1: True Class: A, Predicted: A, Probability: 0.9999399481459207
Sequence811.csv_1: True Class: B, Predicted: A, Probability: 0.675114790647874
Sequence812.csv_1: True Class: B, Predicted: B, Probability: 0.9988472200855587
Sequence813.csv_1: True Class: B, Predicted: A, Probability: 0.9999735544118703
Sequence814.csv_1: True Class: B, Predicted: A, Probability: 0.61943181716072
Sequence815.csv_1: True Class: A, Predicted: A, Probability: 0.999999999999997
Sequence816.csv_1: True Class: B, Predicted: B, Probability: 0.9998605383843792
Sequence817.csv_1: True Class: C, Predicted: B, Probability: 0.9999662454203921
Sequence818.csv_1: True Class: A, Predicted: C, Probability: 0.8945291305082491
Sequence819.csv_1: True Class: C, Predicted: A, Probability: 0.9999998401840912
Sequence82.csv_1: True Class: A, Predicted: C, Probability: 0.9997067673339696
Sequence820.csv_1: True Class: B, Predicted: C, Probability: 0.9122949666670915
Sequence821.csv_1: True Class: B, Predicted: A, Probability: 0.9982816699686747
Sequence822.csv_1: True Class: B, Predicted: B, Probability: 0.9959031829916596
Sequence823.csv_1: True Class: A, Predicted: B, Probability: 0.9852301716442111
Sequence824.csv_1: True Class: A, Predicted: C, Probability: 0.7439164637899731
Sequence825.csv_1: True Class: A, Predicted: B, Probability: 0.9999560634040432
Sequence826.csv_1: True Class: B, Predicted: A, Probability: 0.81202650305334
Sequence827.csv_1: True Class: A, Predicted: B, Probability: 0.9204900509258818
Sequence828.csv_1: True Class: A, Predicted: C, Probability: 0.5952852870147515
Sequence829.csv_1: True Class: B, Predicted: B, Probability: 0.9999395763861507
