Sequence549.csv_1: True Class: B, Predicted: A, Probability: 0.6755748677307385
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 0.9998128055893287
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.7109001843820543
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999747
Sequence552.csv_1: True Class: A, Predicted: A, Probability: 0.9999304600204938
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 0.999999999999995
Sequence555.csv_1: True Class: A, Predicted: B, Probability: 0.9999766247643774
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999791
Sequence557.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence558.csv_1: True Class: B, Predicted: A, Probability: 0.9980797594054979
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.999999990316922
Sequence56.csv_1: True Class: B, Predicted: A, Probability: 0.9451249666202641
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.999878960211475
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.9998837114640591
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9999730702712394
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.9999999995327383
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9708490102296325
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence568.csv_1: True Class: A, Predicted: B, Probability: 0.9906510018052817
Sequence569.csv_1: True Class: B, Predicted: B, Probability: 0.9778882374857104
Sequence57.csv_1: True Class: B, Predicted: A, Probability: 0.9789327807903544
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9999990711269138
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999978
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999982806
Sequence574.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999992873
Sequence575.csv_1: True Class: B, Predicted: B, Probability: 0.8419716969557227
Sequence576.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence577.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999999118
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.9852043869980549
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999974
Sequence58.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 1.0
