Sequence549.csv_1: True Class: A, Predicted: A, Probability: 0.5311612174046634
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.9999999992543721
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence552.csv_1: True Class: A, Predicted: A, Probability: 0.9553214791355263
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999864638
Sequence554.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999213
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999984
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999910212
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999815
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9999795682276788
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.9999999957178605
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.9862239556938586
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.9999999862881488
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence567.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.6754615556679608
Sequence57.csv_1: True Class: B, Predicted: A, Probability: 1.0
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999942087
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999998156
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence573.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999806845
Sequence574.csv_1: True Class: B, Predicted: A, Probability: 1.0
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence576.csv_1: True Class: A, Predicted: B, Probability: 0.9988709584552646
Sequence577.csv_1: True Class: A, Predicted: A, Probability: 0.9999969303651385
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.837287313368211
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.9998066611052778
Sequence58.csv_1: True Class: A, Predicted: B, Probability: 0.9908765431790966
Sequence580.csv_1: True Class: A, Predicted: B, Probability: 0.8886202131486609
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999978
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999772073
Sequence584.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence585.csv_1: True Class: A, Predicted: A, Probability: 0.9428244829287159
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.9999950946149238
Sequence587.csv_1: True Class: A, Predicted: A, Probability: 0.9999995424663344
Sequence588.csv_1: True Class: A, Predicted: A, Probability: 0.9999999295519872
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence59.csv_1: True Class: A, Predicted: A, Probability: 0.9997486789149913
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 0.9993949789483537
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999993
Sequence592.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999972957
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999876
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.9999999439930493
Sequence598.csv_1: True Class: A, Predicted: A, Probability: 1.0
