1_1_3_1.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
1_1_3_5.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
1_1_5_4.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
1_2_2_5.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
1_2_3_5.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
1_2_4_3.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
1_3_1_5.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
1_3_2_4.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
1_3_2_5.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
1_3_5_4.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
1_3_6_1.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
1_3_6_2.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
1_3_6_3.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
1_3_6_4.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
1_3_6_5.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
1_4_1_3.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
1_4_2_3.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
1_4_3_1.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
1_4_3_2.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
1_4_3_4.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
1_4_4_1.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
1_4_4_3.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
1_5_2_3.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
1_5_2_4.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
1_5_2_5.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
1_5_5_1.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
1_5_5_4.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
1_5_6_1.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
1_5_6_2.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
1_5_6_3.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
1_6_2_1.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
1_6_2_3.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
1_6_2_4.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
1_6_2_5.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
1_6_3_2.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
1_6_3_5.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
1_6_4_5.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
1_6_6_3.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
1_6_6_4.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
1_7_2_2.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
1_7_3_5.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
1_7_6_2.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
2_1_1_1.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
2_1_4_3.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
2_1_6_1.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
2_1_6_4.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
2_2_1_2.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
2_2_1_5.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
2_2_2_2.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
2_2_2_3.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
2_2_3_3.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
2_2_4_2.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
2_2_5_3.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
2_2_5_5.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
2_2_6_1.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
2_2_6_3.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
2_3_1_1.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
2_3_1_5.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
2_3_4_2.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
2_3_4_3.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
2_3_4_5.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
2_3_5_2.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
2_3_6_1.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
2_3_6_3.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
2_3_6_5.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
2_4_6_4.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
2_5_1_1.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
2_5_1_5.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
2_5_3_1.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
2_5_3_2.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
2_5_4_2.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
2_5_4_3.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
2_5_5_2.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
2_5_5_4.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
2_5_6_3.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
2_6_1_5.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
2_6_2_2.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
2_6_2_3.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
2_6_2_4.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
2_6_3_1.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
2_6_3_5.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
2_6_4_2.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
2_6_5_3.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
2_6_6_3.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
2_7_1_1.csv: True Class: 0, Predicted: 0, Probability: 0.5031645569620253
2_7_4_1.csv: True Class: 1, Predicted: 0, Probability: 0.5031645569620253
