Sequence549.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence551.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence552.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence554.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence555.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence558.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence559.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence561.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence565.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence567.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence568.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence569.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence573.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence575.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence577.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence578.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence579.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence580.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence582.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence583.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence584.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence585.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence586.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence587.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence588.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence59.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence590.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence591.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence592.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence595.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence597.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence598.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence599.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence6.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence600.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence601.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence602.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence603.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence605.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence606.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence607.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence608.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence609.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence61.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence610.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence611.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence612.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence613.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence614.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence615.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence616.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence617.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
Sequence618.csv_1: True Class: A, Predicted: A, Probability: 0.5139813581890812
Sequence619.csv_1: True Class: B, Predicted: A, Probability: 0.5139813581890812
