Sequence549.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.892477734446607
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.9999984954021381
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9999999940402677
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.9999806065271618
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence555.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999998701
Sequence556.csv_1: True Class: A, Predicted: B, Probability: 0.9999763784853953
Sequence557.csv_1: True Class: A, Predicted: B, Probability: 0.9999999957521967
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.9999931916509824
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9130081798767085
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9639664142293097
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999998
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 0.999830333324104
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999963042
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.999999999585179
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9999341981012432
Sequence567.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999994562
Sequence568.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999999828
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.999999993504418
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.999999999998437
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9987963045801319
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999922
Sequence573.csv_1: True Class: A, Predicted: A, Probability: 0.999999999540707
Sequence574.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence575.csv_1: True Class: B, Predicted: B, Probability: 0.9999998678622799
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence577.csv_1: True Class: B, Predicted: A, Probability: 0.9999891024239743
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.9999999861959111
Sequence579.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence580.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999717166
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.999999999998976
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.9999999997535711
Sequence583.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999886822
Sequence584.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999998
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 0.9999999794218752
Sequence586.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999990316
Sequence587.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence588.csv_1: True Class: B, Predicted: B, Probability: 0.9999999624107951
Sequence589.csv_1: True Class: B, Predicted: A, Probability: 0.9999965940940189
Sequence59.csv_1: True Class: B, Predicted: A, Probability: 0.9259495757429227
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence592.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence593.csv_1: True Class: B, Predicted: A, Probability: 0.8611160294775816
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999994004
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence596.csv_1: True Class: A, Predicted: B, Probability: 0.9985230753485835
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.9999999991082674
Sequence598.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence6.csv_1: True Class: B, Predicted: B, Probability: 0.9959114085004931
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence600.csv_1: True Class: A, Predicted: A, Probability: 0.9999999949967773
Sequence601.csv_1: True Class: A, Predicted: A, Probability: 0.9995371837770617
Sequence602.csv_1: True Class: A, Predicted: A, Probability: 0.9999999995006518
Sequence603.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 0.9998591958093752
Sequence605.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence606.csv_1: True Class: B, Predicted: B, Probability: 0.9757027628937223
Sequence607.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence608.csv_1: True Class: A, Predicted: A, Probability: 0.9999266720815565
Sequence609.csv_1: True Class: A, Predicted: A, Probability: 0.9999999994465902
Sequence61.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999998879
Sequence610.csv_1: True Class: B, Predicted: A, Probability: 0.9997060083552272
Sequence611.csv_1: True Class: B, Predicted: B, Probability: 0.99999999999988
Sequence612.csv_1: True Class: A, Predicted: A, Probability: 0.9926642415617175
Sequence613.csv_1: True Class: B, Predicted: B, Probability: 0.9956661623112211
Sequence614.csv_1: True Class: A, Predicted: A, Probability: 0.9498410141409245
Sequence615.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence616.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence617.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence618.csv_1: True Class: A, Predicted: A, Probability: 0.9994659564728715
Sequence619.csv_1: True Class: A, Predicted: A, Probability: 0.999625439683278
Sequence62.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence620.csv_1: True Class: B, Predicted: A, Probability: 0.9999934588551109
