Sequence549.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999643774
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999812444
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.9999997338584485
Sequence551.csv_1: True Class: B, Predicted: A, Probability: 0.7531002688698692
Sequence552.csv_1: True Class: A, Predicted: B, Probability: 0.9999999914488154
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999809
Sequence554.csv_1: True Class: B, Predicted: A, Probability: 0.9981020557632126
Sequence555.csv_1: True Class: A, Predicted: B, Probability: 0.999490340181211
Sequence556.csv_1: True Class: A, Predicted: B, Probability: 0.9742581703784731
Sequence557.csv_1: True Class: B, Predicted: B, Probability: 0.9972644511156336
Sequence558.csv_1: True Class: B, Predicted: A, Probability: 0.9993563152007974
Sequence559.csv_1: True Class: B, Predicted: B, Probability: 0.9999999988432776
Sequence56.csv_1: True Class: A, Predicted: B, Probability: 0.9999999859852968
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.9999743635208995
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.9999865836692675
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.9999990369064622
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence564.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999869711
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.9737136047529349
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999834542
Sequence567.csv_1: True Class: A, Predicted: A, Probability: 0.9995497371374793
Sequence568.csv_1: True Class: A, Predicted: B, Probability: 0.9999999987691656
Sequence569.csv_1: True Class: B, Predicted: A, Probability: 0.9018749309654015
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.9999999968097083
Sequence570.csv_1: True Class: A, Predicted: B, Probability: 0.9059540222744141
Sequence571.csv_1: True Class: B, Predicted: A, Probability: 0.7945354638427309
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.999987363636892
Sequence573.csv_1: True Class: B, Predicted: A, Probability: 0.9999827175088859
Sequence574.csv_1: True Class: A, Predicted: B, Probability: 0.9999999991408174
Sequence575.csv_1: True Class: B, Predicted: A, Probability: 0.9999995151131216
Sequence576.csv_1: True Class: B, Predicted: A, Probability: 0.9999994142765323
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.725765753428454
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.9602854360421208
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence58.csv_1: True Class: B, Predicted: B, Probability: 0.9999943372953494
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 0.9999999067000418
Sequence581.csv_1: True Class: B, Predicted: A, Probability: 0.9964480164938451
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.9999999439326576
Sequence583.csv_1: True Class: A, Predicted: B, Probability: 0.9999915291189612
Sequence584.csv_1: True Class: B, Predicted: A, Probability: 0.8525507356160192
Sequence585.csv_1: True Class: A, Predicted: A, Probability: 0.9999998240045769
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.9999999824062265
Sequence587.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999998911
Sequence588.csv_1: True Class: B, Predicted: A, Probability: 0.999995967292317
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9999998314975586
Sequence59.csv_1: True Class: B, Predicted: B, Probability: 0.9955926994786088
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 0.9999725284006366
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence592.csv_1: True Class: A, Predicted: A, Probability: 0.9999969365084949
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999955947
Sequence594.csv_1: True Class: B, Predicted: B, Probability: 0.8052174120555162
Sequence595.csv_1: True Class: B, Predicted: A, Probability: 0.9999778301222874
