Sequence549.csv_1: True Class: A, Predicted: B, Probability: 0.9999317656160766
Sequence55.csv_1: True Class: A, Predicted: B, Probability: 0.9935834737199423
Sequence550.csv_1: True Class: B, Predicted: A, Probability: 0.9734698095780724
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 0.6250198768404752
Sequence552.csv_1: True Class: A, Predicted: A, Probability: 0.9999270003831129
Sequence553.csv_1: True Class: A, Predicted: B, Probability: 0.6037460277817385
Sequence554.csv_1: True Class: A, Predicted: A, Probability: 0.9999911107422192
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.9974989355319915
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.9999999991857631
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9677990716577619
Sequence558.csv_1: True Class: A, Predicted: B, Probability: 0.9995843746922755
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9284599477662991
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9999363100130589
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.9999411522260817
Sequence561.csv_1: True Class: B, Predicted: A, Probability: 0.8703412121624097
Sequence562.csv_1: True Class: A, Predicted: B, Probability: 0.9999925674516192
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.9999995660205574
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.8349593691599706
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.9999007138500943
Sequence566.csv_1: True Class: A, Predicted: B, Probability: 0.9999649903913733
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.9999436440031777
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.9999113415698638
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.9999986499037394
Sequence57.csv_1: True Class: A, Predicted: B, Probability: 0.9279951882479329
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.7145181307723145
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9999918181286925
Sequence572.csv_1: True Class: B, Predicted: A, Probability: 0.9965749574131748
Sequence573.csv_1: True Class: A, Predicted: B, Probability: 0.7677345450033531
Sequence574.csv_1: True Class: B, Predicted: B, Probability: 0.9655343221593113
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.9999437264538996
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.95733326776826
Sequence577.csv_1: True Class: B, Predicted: A, Probability: 0.999938419385917
Sequence578.csv_1: True Class: A, Predicted: B, Probability: 0.9566721321578663
Sequence579.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999994958
Sequence58.csv_1: True Class: A, Predicted: B, Probability: 0.9942082577582297
Sequence580.csv_1: True Class: B, Predicted: A, Probability: 0.9999653543383352
Sequence581.csv_1: True Class: B, Predicted: B, Probability: 0.6799346352530611
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.999999910805714
Sequence583.csv_1: True Class: A, Predicted: B, Probability: 0.9999867319766019
Sequence584.csv_1: True Class: B, Predicted: A, Probability: 0.7553659037130522
Sequence585.csv_1: True Class: A, Predicted: B, Probability: 0.9835707414224979
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999997278
Sequence587.csv_1: True Class: A, Predicted: B, Probability: 0.6699702882388703
Sequence588.csv_1: True Class: A, Predicted: B, Probability: 0.9788345878978197
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.999199665792949
Sequence59.csv_1: True Class: A, Predicted: A, Probability: 0.9999289098033622
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 0.9999999971033426
Sequence591.csv_1: True Class: B, Predicted: A, Probability: 0.9831925988196897
Sequence592.csv_1: True Class: A, Predicted: B, Probability: 0.9972827115569138
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9773676501257502
Sequence594.csv_1: True Class: B, Predicted: A, Probability: 0.9953617829386033
Sequence595.csv_1: True Class: B, Predicted: A, Probability: 0.8041689900071572
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.993085950742631
Sequence597.csv_1: True Class: A, Predicted: B, Probability: 0.9845788959281927
Sequence598.csv_1: True Class: B, Predicted: A, Probability: 0.9998666304245087
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 0.9999946481753583
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.9997537262802031
Sequence60.csv_1: True Class: B, Predicted: B, Probability: 0.9999785483310998
Sequence600.csv_1: True Class: A, Predicted: A, Probability: 0.9083263328521011
Sequence601.csv_1: True Class: A, Predicted: A, Probability: 0.999999999002569
Sequence602.csv_1: True Class: A, Predicted: B, Probability: 0.9999772323537022
Sequence603.csv_1: True Class: A, Predicted: A, Probability: 0.9992787299315623
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 0.6554787842545121
Sequence605.csv_1: True Class: B, Predicted: A, Probability: 0.8394374363736665
Sequence606.csv_1: True Class: A, Predicted: B, Probability: 0.8070805020718695
Sequence607.csv_1: True Class: A, Predicted: A, Probability: 0.9993130681192218
Sequence608.csv_1: True Class: A, Predicted: A, Probability: 0.9745238525582075
Sequence609.csv_1: True Class: B, Predicted: B, Probability: 0.9999927238917616
Sequence61.csv_1: True Class: A, Predicted: B, Probability: 0.9993653061128728
Sequence610.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999949857
Sequence611.csv_1: True Class: B, Predicted: B, Probability: 0.7341948371852121
Sequence612.csv_1: True Class: A, Predicted: B, Probability: 0.9999995031890094
Sequence613.csv_1: True Class: A, Predicted: A, Probability: 0.9319330850510796
Sequence614.csv_1: True Class: A, Predicted: B, Probability: 0.6230137914997319
Sequence615.csv_1: True Class: A, Predicted: B, Probability: 0.9999983523606235
Sequence616.csv_1: True Class: A, Predicted: B, Probability: 0.6685647038080688
Sequence617.csv_1: True Class: A, Predicted: A, Probability: 0.9993316373418824
Sequence618.csv_1: True Class: A, Predicted: A, Probability: 0.9999906303385159
Sequence619.csv_1: True Class: A, Predicted: B, Probability: 0.985383670888212
Sequence62.csv_1: True Class: A, Predicted: B, Probability: 0.9960961942518916
Sequence620.csv_1: True Class: A, Predicted: B, Probability: 0.9206800283150901
Sequence621.csv_1: True Class: B, Predicted: A, Probability: 0.9999921703040834
Sequence622.csv_1: True Class: A, Predicted: A, Probability: 0.8227579618243754
Sequence623.csv_1: True Class: A, Predicted: A, Probability: 0.9997542088308876
Sequence624.csv_1: True Class: A, Predicted: A, Probability: 0.9998837301411833
Sequence625.csv_1: True Class: A, Predicted: A, Probability: 0.979891761046584
Sequence626.csv_1: True Class: B, Predicted: B, Probability: 0.9999942694007441
Sequence627.csv_1: True Class: A, Predicted: A, Probability: 0.9999999971480394
Sequence628.csv_1: True Class: A, Predicted: A, Probability: 0.5608702444763817
Sequence629.csv_1: True Class: A, Predicted: B, Probability: 0.9996079886328313
Sequence63.csv_1: True Class: A, Predicted: A, Probability: 0.9974979452160568
Sequence630.csv_1: True Class: B, Predicted: B, Probability: 0.9975011166716676
Sequence631.csv_1: True Class: B, Predicted: A, Probability: 0.9999058111598893
Sequence632.csv_1: True Class: A, Predicted: A, Probability: 0.9990688576562297
Sequence633.csv_1: True Class: B, Predicted: A, Probability: 0.9997586292017533
Sequence634.csv_1: True Class: A, Predicted: A, Probability: 0.9670417364670411
Sequence635.csv_1: True Class: B, Predicted: A, Probability: 0.9999999994409445
Sequence636.csv_1: True Class: A, Predicted: B, Probability: 0.9524103136065393
Sequence637.csv_1: True Class: A, Predicted: A, Probability: 0.9845553279051968
Sequence638.csv_1: True Class: B, Predicted: B, Probability: 0.9661493389965367
Sequence639.csv_1: True Class: A, Predicted: B, Probability: 0.9999993437813689
Sequence64.csv_1: True Class: A, Predicted: A, Probability: 0.9999999769887881
Sequence640.csv_1: True Class: B, Predicted: B, Probability: 0.9181756331707904
Sequence641.csv_1: True Class: A, Predicted: A, Probability: 0.986718819421546
Sequence642.csv_1: True Class: A, Predicted: A, Probability: 0.9847304235246679
Sequence643.csv_1: True Class: A, Predicted: A, Probability: 0.9990377981500645
Sequence644.csv_1: True Class: A, Predicted: B, Probability: 0.9949347580141984
Sequence645.csv_1: True Class: B, Predicted: B, Probability: 0.9918055213074128
Sequence646.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999957864
Sequence647.csv_1: True Class: A, Predicted: A, Probability: 0.9698103638100194
Sequence648.csv_1: True Class: A, Predicted: B, Probability: 0.9904122845954055
Sequence649.csv_1: True Class: A, Predicted: A, Probability: 0.9999998974556643
Sequence65.csv_1: True Class: A, Predicted: B, Probability: 0.5773445843659709
Sequence650.csv_1: True Class: B, Predicted: B, Probability: 0.8339423253859245
Sequence651.csv_1: True Class: A, Predicted: B, Probability: 0.99990130332626
Sequence652.csv_1: True Class: A, Predicted: B, Probability: 0.997924424455403
Sequence653.csv_1: True Class: B, Predicted: B, Probability: 0.9783036528341423
Sequence654.csv_1: True Class: B, Predicted: B, Probability: 0.6393828401674355
Sequence655.csv_1: True Class: A, Predicted: A, Probability: 0.9933936256746096
Sequence656.csv_1: True Class: A, Predicted: B, Probability: 0.9999932117137367
Sequence657.csv_1: True Class: A, Predicted: B, Probability: 0.9999958667334488
Sequence658.csv_1: True Class: B, Predicted: B, Probability: 0.8536810661880632
Sequence659.csv_1: True Class: A, Predicted: A, Probability: 0.829506719901674
Sequence66.csv_1: True Class: B, Predicted: A, Probability: 0.6961056990577827
Sequence660.csv_1: True Class: B, Predicted: B, Probability: 0.7153107663951462
Sequence661.csv_1: True Class: A, Predicted: A, Probability: 0.9999952471406424
Sequence662.csv_1: True Class: A, Predicted: B, Probability: 0.9045743083886253
Sequence663.csv_1: True Class: A, Predicted: B, Probability: 0.9769751975578337
Sequence664.csv_1: True Class: A, Predicted: A, Probability: 0.99999602321102
Sequence665.csv_1: True Class: A, Predicted: A, Probability: 0.9846915816302333
Sequence666.csv_1: True Class: A, Predicted: B, Probability: 0.9978158221511283
Sequence667.csv_1: True Class: B, Predicted: B, Probability: 0.9999999568426544
Sequence668.csv_1: True Class: A, Predicted: A, Probability: 0.9841698411308701
Sequence669.csv_1: True Class: B, Predicted: B, Probability: 0.9991949088137497
Sequence67.csv_1: True Class: A, Predicted: A, Probability: 0.999882112670065
Sequence670.csv_1: True Class: A, Predicted: B, Probability: 0.8687823213042105
Sequence671.csv_1: True Class: B, Predicted: B, Probability: 0.9998419355255881
Sequence672.csv_1: True Class: A, Predicted: A, Probability: 0.9999542384483153
Sequence673.csv_1: True Class: B, Predicted: B, Probability: 0.8729489660592058
Sequence674.csv_1: True Class: A, Predicted: A, Probability: 0.9978186032401939
Sequence675.csv_1: True Class: A, Predicted: B, Probability: 0.7453666929761161
Sequence676.csv_1: True Class: A, Predicted: A, Probability: 0.9999999919377914
Sequence677.csv_1: True Class: B, Predicted: B, Probability: 0.997165138566615
Sequence678.csv_1: True Class: B, Predicted: A, Probability: 0.999949683686513
Sequence679.csv_1: True Class: A, Predicted: A, Probability: 0.999909450030387
Sequence68.csv_1: True Class: B, Predicted: B, Probability: 0.9794259647568555
Sequence680.csv_1: True Class: A, Predicted: A, Probability: 0.9963169491404734
Sequence681.csv_1: True Class: A, Predicted: A, Probability: 0.9999999943237626
Sequence682.csv_1: True Class: B, Predicted: A, Probability: 0.5435560694627749
Sequence683.csv_1: True Class: A, Predicted: B, Probability: 0.9998817799061184
Sequence684.csv_1: True Class: A, Predicted: A, Probability: 0.7230514655516538
Sequence685.csv_1: True Class: A, Predicted: A, Probability: 0.9916095844694834
Sequence686.csv_1: True Class: A, Predicted: A, Probability: 0.9973745997939367
Sequence687.csv_1: True Class: A, Predicted: B, Probability: 0.9990067482419462
Sequence688.csv_1: True Class: A, Predicted: A, Probability: 0.9999989112638081
Sequence689.csv_1: True Class: B, Predicted: A, Probability: 0.9998435738087855
Sequence69.csv_1: True Class: A, Predicted: B, Probability: 0.9995654609299961
Sequence690.csv_1: True Class: A, Predicted: B, Probability: 0.9999928927554943
Sequence691.csv_1: True Class: A, Predicted: B, Probability: 0.958280292586097
Sequence692.csv_1: True Class: A, Predicted: A, Probability: 0.9950949238252136
Sequence693.csv_1: True Class: A, Predicted: B, Probability: 0.9979730395216841
Sequence694.csv_1: True Class: A, Predicted: A, Probability: 0.9999999909633994
Sequence695.csv_1: True Class: B, Predicted: A, Probability: 0.9999999997111093
Sequence696.csv_1: True Class: A, Predicted: A, Probability: 0.9987458437435384
Sequence697.csv_1: True Class: A, Predicted: B, Probability: 0.5130837350136553
Sequence698.csv_1: True Class: B, Predicted: B, Probability: 0.9967818459090428
Sequence699.csv_1: True Class: A, Predicted: A, Probability: 0.9999999496949562
Sequence7.csv_1: True Class: A, Predicted: B, Probability: 0.993827779070285
Sequence70.csv_1: True Class: A, Predicted: B, Probability: 0.9999604233203145
Sequence700.csv_1: True Class: B, Predicted: A, Probability: 0.999999563248474
Sequence701.csv_1: True Class: A, Predicted: A, Probability: 0.6565420063053679
Sequence702.csv_1: True Class: A, Predicted: B, Probability: 0.9999895997646684
Sequence703.csv_1: True Class: B, Predicted: B, Probability: 0.869329409048121
Sequence704.csv_1: True Class: A, Predicted: A, Probability: 0.999853290847588
Sequence705.csv_1: True Class: A, Predicted: A, Probability: 0.9715802912007442
Sequence706.csv_1: True Class: A, Predicted: A, Probability: 0.6977794585378777
Sequence707.csv_1: True Class: A, Predicted: A, Probability: 0.6270053938749421
Sequence708.csv_1: True Class: A, Predicted: A, Probability: 0.7102329409587714
Sequence709.csv_1: True Class: A, Predicted: A, Probability: 0.5918022168588933
Sequence71.csv_1: True Class: A, Predicted: B, Probability: 0.9625869355055495
Sequence710.csv_1: True Class: A, Predicted: B, Probability: 0.8973038630331741
Sequence711.csv_1: True Class: B, Predicted: A, Probability: 0.9996834962849862
Sequence712.csv_1: True Class: A, Predicted: B, Probability: 0.9854963404710044
Sequence713.csv_1: True Class: B, Predicted: B, Probability: 0.9253064415705773
Sequence714.csv_1: True Class: A, Predicted: A, Probability: 0.9995381359658453
Sequence715.csv_1: True Class: A, Predicted: A, Probability: 0.9999351122546805
Sequence716.csv_1: True Class: A, Predicted: A, Probability: 0.9999678488487965
Sequence717.csv_1: True Class: A, Predicted: B, Probability: 0.9999844962667738
Sequence718.csv_1: True Class: A, Predicted: A, Probability: 0.9991148226228108
Sequence719.csv_1: True Class: A, Predicted: A, Probability: 0.9994773426001504
Sequence72.csv_1: True Class: A, Predicted: B, Probability: 0.9855501483107528
Sequence720.csv_1: True Class: A, Predicted: A, Probability: 0.999999998240025
