Sequence549.csv_1: True Class: B, Predicted: B, Probability: 0.9999999697798032
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 0.999999999806006
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.9999908678011104
Sequence551.csv_1: True Class: B, Predicted: A, Probability: 0.9999998157034088
Sequence552.csv_1: True Class: B, Predicted: A, Probability: 0.9995221383288554
Sequence553.csv_1: True Class: B, Predicted: B, Probability: 0.999998590774431
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 0.7561831762156932
Sequence555.csv_1: True Class: B, Predicted: B, Probability: 0.9985905981479075
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.9999999914208286
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9186512841471856
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.9999999761998302
Sequence559.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence56.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.9999986734962736
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999341963
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 0.999999999962217
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 0.8602779800681392
Sequence564.csv_1: True Class: B, Predicted: B, Probability: 0.9999995035846608
Sequence565.csv_1: True Class: B, Predicted: B, Probability: 0.9999991665741064
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.9999999249428271
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.7600408245803453
Sequence569.csv_1: True Class: B, Predicted: B, Probability: 0.9999999998336937
Sequence57.csv_1: True Class: B, Predicted: A, Probability: 0.9999999993595978
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.686204487177943
Sequence571.csv_1: True Class: B, Predicted: B, Probability: 0.9812740247665401
Sequence572.csv_1: True Class: B, Predicted: B, Probability: 0.5133562444114657
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.9999999947481346
Sequence574.csv_1: True Class: A, Predicted: B, Probability: 1.0
Sequence575.csv_1: True Class: B, Predicted: A, Probability: 0.751728254712962
Sequence576.csv_1: True Class: B, Predicted: B, Probability: 0.9985435649340787
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.9999999128664466
Sequence578.csv_1: True Class: B, Predicted: A, Probability: 0.9999990676389152
Sequence579.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999996858
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9999968088938609
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 0.9999999814898867
Sequence581.csv_1: True Class: B, Predicted: B, Probability: 0.9999878046827814
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.9999999444006187
Sequence583.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence584.csv_1: True Class: B, Predicted: B, Probability: 0.9669087159262908
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 0.9999999256161678
Sequence586.csv_1: True Class: B, Predicted: B, Probability: 0.9999998838260866
Sequence587.csv_1: True Class: B, Predicted: A, Probability: 0.9999968726742479
Sequence588.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999989503
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.7721309452457258
Sequence59.csv_1: True Class: B, Predicted: B, Probability: 0.9730976296079173
Sequence590.csv_1: True Class: B, Predicted: A, Probability: 0.9930942232397615
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 0.9999999905772586
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.9374080530979517
Sequence593.csv_1: True Class: B, Predicted: B, Probability: 0.9975347662907936
Sequence594.csv_1: True Class: B, Predicted: B, Probability: 0.9999999996908056
Sequence595.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999905426
Sequence596.csv_1: True Class: B, Predicted: A, Probability: 0.9999999885272625
Sequence597.csv_1: True Class: B, Predicted: B, Probability: 0.9999999990094295
Sequence598.csv_1: True Class: B, Predicted: A, Probability: 0.9725889409126213
Sequence599.csv_1: True Class: B, Predicted: B, Probability: 0.9984038061350891
Sequence6.csv_1: True Class: B, Predicted: A, Probability: 0.7017517888855487
Sequence60.csv_1: True Class: B, Predicted: B, Probability: 0.9996679054448617
Sequence600.csv_1: True Class: B, Predicted: B, Probability: 0.999999934449398
Sequence601.csv_1: True Class: B, Predicted: B, Probability: 0.9938002435602676
Sequence602.csv_1: True Class: B, Predicted: B, Probability: 0.9997997188594248
Sequence603.csv_1: True Class: B, Predicted: B, Probability: 0.9947743328841026
