Sequence549.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999997734
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.9999999922432387
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.9921487418568905
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.9912679831245795
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9999999450107809
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999996673
Sequence554.csv_1: True Class: A, Predicted: B, Probability: 0.9998076124205557
Sequence555.csv_1: True Class: A, Predicted: B, Probability: 0.9999979871861028
Sequence556.csv_1: True Class: A, Predicted: B, Probability: 0.9815093515123756
Sequence557.csv_1: True Class: A, Predicted: B, Probability: 0.9999735905500367
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.9997892923134026
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9999999968723334
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999437
Sequence560.csv_1: True Class: A, Predicted: B, Probability: 0.991219973053302
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999985909
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.9988714375022444
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9999998968434607
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999976
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9742055219139775
Sequence567.csv_1: True Class: A, Predicted: A, Probability: 0.8675173944227084
Sequence568.csv_1: True Class: A, Predicted: B, Probability: 0.9004755212192673
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999997227
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.9999999044400263
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.9999997448415058
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.999698920217038
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.8962206967288522
Sequence573.csv_1: True Class: A, Predicted: A, Probability: 0.9999837848920022
Sequence574.csv_1: True Class: B, Predicted: A, Probability: 0.9469011045573561
Sequence575.csv_1: True Class: A, Predicted: B, Probability: 0.999999869040843
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.999999998919722
Sequence577.csv_1: True Class: A, Predicted: A, Probability: 0.9999960943719527
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.9999599143901131
Sequence579.csv_1: True Class: A, Predicted: B, Probability: 0.9999299009018738
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999992232
Sequence580.csv_1: True Class: A, Predicted: A, Probability: 0.9999999997878602
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9999924222526414
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999592515
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.9173883314155208
Sequence584.csv_1: True Class: A, Predicted: B, Probability: 0.999999950414799
Sequence585.csv_1: True Class: A, Predicted: A, Probability: 0.9999996628840568
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.9998688533857694
Sequence587.csv_1: True Class: A, Predicted: A, Probability: 0.9999996622541341
Sequence588.csv_1: True Class: B, Predicted: A, Probability: 0.9953436169073571
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9952265612385299
Sequence59.csv_1: True Class: A, Predicted: A, Probability: 0.9999791451750681
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence591.csv_1: True Class: A, Predicted: B, Probability: 0.9999987412989491
Sequence592.csv_1: True Class: A, Predicted: A, Probability: 0.9999999388062297
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9999836744893839
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 0.9999999887583889
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 0.999999999833561
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.9999999620712351
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999382
Sequence598.csv_1: True Class: A, Predicted: A, Probability: 0.9484944183747922
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999996275
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.5607875661672204
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999075573
Sequence600.csv_1: True Class: A, Predicted: A, Probability: 0.9999999974939947
Sequence601.csv_1: True Class: A, Predicted: B, Probability: 0.9946931309658388
Sequence602.csv_1: True Class: A, Predicted: A, Probability: 0.9999999996675292
Sequence603.csv_1: True Class: A, Predicted: B, Probability: 0.9643837314569885
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 0.9999999996778955
Sequence605.csv_1: True Class: A, Predicted: A, Probability: 0.9999998264825936
Sequence606.csv_1: True Class: A, Predicted: A, Probability: 0.8621287941479086
Sequence607.csv_1: True Class: A, Predicted: A, Probability: 0.9999991470661219
Sequence608.csv_1: True Class: A, Predicted: A, Probability: 0.9999999944860674
Sequence609.csv_1: True Class: A, Predicted: A, Probability: 0.9999998331218503
Sequence61.csv_1: True Class: A, Predicted: A, Probability: 0.9997341288576104
Sequence610.csv_1: True Class: B, Predicted: A, Probability: 0.9993191373012072
Sequence611.csv_1: True Class: A, Predicted: B, Probability: 0.9999829446878162
Sequence612.csv_1: True Class: A, Predicted: A, Probability: 0.9999653802358376
Sequence613.csv_1: True Class: A, Predicted: A, Probability: 0.8208149057109665
Sequence614.csv_1: True Class: A, Predicted: A, Probability: 0.9995675904206324
Sequence615.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence616.csv_1: True Class: B, Predicted: A, Probability: 0.9943018837438964
Sequence617.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999752484
Sequence618.csv_1: True Class: A, Predicted: A, Probability: 0.9999999979599883
Sequence619.csv_1: True Class: A, Predicted: A, Probability: 0.9999826285546687
Sequence62.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999998076
Sequence620.csv_1: True Class: A, Predicted: A, Probability: 0.7859650537509962
Sequence621.csv_1: True Class: A, Predicted: A, Probability: 0.7223570188364448
Sequence622.csv_1: True Class: A, Predicted: B, Probability: 0.9995453221654923
Sequence623.csv_1: True Class: A, Predicted: A, Probability: 0.9999999921659259
Sequence624.csv_1: True Class: A, Predicted: A, Probability: 0.9999779465426514
Sequence625.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999787343
Sequence626.csv_1: True Class: A, Predicted: A, Probability: 0.9999999217940572
