Sequence549.csv_1: True Class: B, Predicted: A, Probability: 0.9850078731960088
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.6423035650278665
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.995977537724006
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.9999638114539416
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9979975737399085
Sequence553.csv_1: True Class: B, Predicted: B, Probability: 0.9999002430987031
Sequence554.csv_1: True Class: B, Predicted: A, Probability: 0.664452015494229
Sequence555.csv_1: True Class: B, Predicted: B, Probability: 0.9777584039752024
Sequence556.csv_1: True Class: B, Predicted: A, Probability: 0.6457346289077056
Sequence557.csv_1: True Class: B, Predicted: A, Probability: 0.9931435562253759
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.9875379425670978
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.5176233038793319
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9990154685629207
Sequence560.csv_1: True Class: A, Predicted: B, Probability: 0.6710023737309828
Sequence561.csv_1: True Class: B, Predicted: A, Probability: 0.9870065576269845
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 0.533809307567907
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.9911823384651658
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9107931979644476
Sequence565.csv_1: True Class: A, Predicted: B, Probability: 0.9219331590840526
Sequence566.csv_1: True Class: B, Predicted: B, Probability: 0.9651194338231682
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.7531885602065485
Sequence568.csv_1: True Class: A, Predicted: B, Probability: 0.999860811956921
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9315768610513216
Sequence57.csv_1: True Class: A, Predicted: B, Probability: 0.9868759858842371
Sequence570.csv_1: True Class: A, Predicted: B, Probability: 0.6417421359285538
Sequence571.csv_1: True Class: A, Predicted: B, Probability: 0.9335357084040301
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.999531930512417
Sequence573.csv_1: True Class: A, Predicted: B, Probability: 0.980782021550773
Sequence574.csv_1: True Class: A, Predicted: B, Probability: 0.9143216208377368
Sequence575.csv_1: True Class: A, Predicted: B, Probability: 0.9015368368106002
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.9999998314458032
Sequence577.csv_1: True Class: A, Predicted: B, Probability: 0.9999700523995316
Sequence578.csv_1: True Class: A, Predicted: B, Probability: 0.9750347342661647
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.7655690793241298
Sequence58.csv_1: True Class: B, Predicted: A, Probability: 0.7726569871625336
Sequence580.csv_1: True Class: A, Predicted: B, Probability: 0.999045501901949
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9999743675679368
Sequence582.csv_1: True Class: A, Predicted: B, Probability: 0.9999441888968476
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.998447304328278
Sequence584.csv_1: True Class: A, Predicted: A, Probability: 0.9658598677997745
Sequence585.csv_1: True Class: B, Predicted: A, Probability: 0.8130234422374127
Sequence586.csv_1: True Class: A, Predicted: B, Probability: 0.9274327315418834
Sequence587.csv_1: True Class: A, Predicted: A, Probability: 0.9892908930301957
Sequence588.csv_1: True Class: A, Predicted: B, Probability: 0.9790252004514264
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9952123218061733
Sequence59.csv_1: True Class: B, Predicted: A, Probability: 0.9323637813032501
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 0.9998920649860927
Sequence591.csv_1: True Class: A, Predicted: A, Probability: 0.9980682239687209
Sequence592.csv_1: True Class: A, Predicted: A, Probability: 0.9768937492654642
Sequence593.csv_1: True Class: A, Predicted: B, Probability: 0.9998816895786805
Sequence594.csv_1: True Class: B, Predicted: B, Probability: 0.9998532869540779
Sequence595.csv_1: True Class: A, Predicted: B, Probability: 0.9507556633599018
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.9981858791780494
Sequence597.csv_1: True Class: B, Predicted: A, Probability: 0.999511353375119
Sequence598.csv_1: True Class: A, Predicted: A, Probability: 0.9999307997291726
Sequence599.csv_1: True Class: A, Predicted: B, Probability: 0.5088907568236222
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.9950071452973611
Sequence60.csv_1: True Class: B, Predicted: B, Probability: 0.7458588940580106
Sequence600.csv_1: True Class: B, Predicted: A, Probability: 0.8595195089900507
Sequence601.csv_1: True Class: B, Predicted: A, Probability: 0.5164537863137929
Sequence602.csv_1: True Class: B, Predicted: A, Probability: 0.7106358978355621
Sequence603.csv_1: True Class: A, Predicted: B, Probability: 0.7902200678662185
Sequence604.csv_1: True Class: B, Predicted: B, Probability: 0.7162882970146782
Sequence605.csv_1: True Class: B, Predicted: A, Probability: 0.8033234196393242
