Sequence549.csv_1: True Class: A, Predicted: C, Probability: 0.7708511611317423
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 0.7497967215422934
Sequence550.csv_1: True Class: C, Predicted: A, Probability: 0.5221698061108887
Sequence551.csv_1: True Class: C, Predicted: A, Probability: 0.8815760617241527
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9999035570257505
Sequence553.csv_1: True Class: B, Predicted: B, Probability: 0.7843923102843425
Sequence554.csv_1: True Class: A, Predicted: B, Probability: 0.6983306616842222
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.9685117671082231
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.9999885705992692
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.7096083967482577
Sequence558.csv_1: True Class: B, Predicted: A, Probability: 0.675030936019292
Sequence559.csv_1: True Class: C, Predicted: C, Probability: 0.9999984662532498
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9999999782280773
Sequence560.csv_1: True Class: A, Predicted: C, Probability: 0.8372773971571335
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.9467769926685232
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.9905323645413118
Sequence563.csv_1: True Class: A, Predicted: B, Probability: 0.991810456888432
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9966807333037901
Sequence565.csv_1: True Class: B, Predicted: A, Probability: 0.9992245036338234
Sequence566.csv_1: True Class: C, Predicted: C, Probability: 0.990085631556616
Sequence567.csv_1: True Class: A, Predicted: A, Probability: 0.9889438796153792
Sequence568.csv_1: True Class: B, Predicted: B, Probability: 0.5632108786618008
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9999999614719653
Sequence57.csv_1: True Class: C, Predicted: C, Probability: 0.9112648009188756
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.6622724165817581
Sequence571.csv_1: True Class: A, Predicted: B, Probability: 0.6157578762982843
Sequence572.csv_1: True Class: B, Predicted: A, Probability: 0.9717149176753781
Sequence573.csv_1: True Class: B, Predicted: C, Probability: 0.982837587891638
Sequence574.csv_1: True Class: A, Predicted: B, Probability: 0.587746363567837
Sequence575.csv_1: True Class: B, Predicted: A, Probability: 0.9795192971655522
Sequence576.csv_1: True Class: C, Predicted: C, Probability: 0.9948762860187019
Sequence577.csv_1: True Class: A, Predicted: B, Probability: 0.8891770343283674
Sequence578.csv_1: True Class: A, Predicted: B, Probability: 0.6171132083654787
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.9840950866368167
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9887012626905692
Sequence580.csv_1: True Class: A, Predicted: A, Probability: 0.9250599008700577
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9999999292446563
Sequence582.csv_1: True Class: C, Predicted: A, Probability: 0.9926518526323583
Sequence583.csv_1: True Class: B, Predicted: B, Probability: 0.7601358581993456
Sequence584.csv_1: True Class: C, Predicted: B, Probability: 0.9228178658732646
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 0.8468617731499763
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.963143211963199
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 0.97134307369556
