Sequence549.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999939696
Sequence55.csv_1: True Class: D, Predicted: C, Probability: 0.736402552765288
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.998906222646236
Sequence551.csv_1: True Class: C, Predicted: A, Probability: 0.9958244930501782
Sequence552.csv_1: True Class: A, Predicted: C, Probability: 0.9999998388901965
Sequence553.csv_1: True Class: C, Predicted: C, Probability: 0.9999998540589937
Sequence554.csv_1: True Class: D, Predicted: C, Probability: 0.8705433682967454
Sequence555.csv_1: True Class: D, Predicted: B, Probability: 0.9639136533600345
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.9921561375149893
Sequence557.csv_1: True Class: D, Predicted: C, Probability: 0.8874270482678278
Sequence558.csv_1: True Class: D, Predicted: B, Probability: 0.9966580802096487
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9846504991227816
Sequence56.csv_1: True Class: A, Predicted: D, Probability: 0.9999988271839286
Sequence560.csv_1: True Class: C, Predicted: C, Probability: 0.9981809155202723
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.999507567711793
Sequence562.csv_1: True Class: C, Predicted: C, Probability: 0.9975765024903132
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.9986331474879836
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999988285
Sequence565.csv_1: True Class: C, Predicted: C, Probability: 0.999968948189106
Sequence566.csv_1: True Class: B, Predicted: D, Probability: 0.9017642561871808
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence568.csv_1: True Class: D, Predicted: C, Probability: 0.9899570143361688
Sequence569.csv_1: True Class: A, Predicted: D, Probability: 0.9627379357665553
Sequence57.csv_1: True Class: B, Predicted: B, Probability: 0.9999999951149044
Sequence570.csv_1: True Class: D, Predicted: D, Probability: 0.9892652778132099
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9992988356691422
Sequence572.csv_1: True Class: C, Predicted: C, Probability: 0.9016274480226254
Sequence573.csv_1: True Class: A, Predicted: D, Probability: 0.9482921218896405
Sequence574.csv_1: True Class: D, Predicted: B, Probability: 0.9852061004762087
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.9999964791492261
Sequence576.csv_1: True Class: B, Predicted: B, Probability: 0.999999999999999
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999998004
Sequence578.csv_1: True Class: D, Predicted: D, Probability: 0.9999078548223308
Sequence579.csv_1: True Class: D, Predicted: C, Probability: 0.7992969965475939
Sequence58.csv_1: True Class: D, Predicted: D, Probability: 0.9245011756585874
Sequence580.csv_1: True Class: D, Predicted: C, Probability: 0.9994409599418639
Sequence581.csv_1: True Class: A, Predicted: D, Probability: 0.9988364295360062
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.7265406374840301
Sequence583.csv_1: True Class: C, Predicted: C, Probability: 0.997442306880678
Sequence584.csv_1: True Class: B, Predicted: B, Probability: 0.9999487925429071
Sequence585.csv_1: True Class: D, Predicted: D, Probability: 0.989045136417839
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.9989688070186032
Sequence587.csv_1: True Class: C, Predicted: C, Probability: 0.9999399969771791
Sequence588.csv_1: True Class: C, Predicted: C, Probability: 0.9997666161621066
