Sequence549.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence550.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence552.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence553.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence554.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence556.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence558.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence56.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence560.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence563.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence564.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence566.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence567.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence568.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence57.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence573.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence575.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence577.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence578.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence579.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence58.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence580.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence582.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence584.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence585.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence587.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence588.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence59.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence590.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence591.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence592.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence594.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence598.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence600.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence601.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence602.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence603.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence605.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence606.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence607.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence608.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence609.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence61.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence610.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence611.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence612.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence613.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
Sequence614.csv_1: True Class: B, Predicted: A, Probability: 0.525965379494008
Sequence615.csv_1: True Class: A, Predicted: A, Probability: 0.525965379494008
