Sequence549.csv_1: True Class: C, Predicted: B, Probability: 0.8346941417613246
Sequence55.csv_1: True Class: A, Predicted: B, Probability: 0.39421210320755073
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.5807325783979882
Sequence551.csv_1: True Class: A, Predicted: B, Probability: 0.7363807364844732
Sequence552.csv_1: True Class: B, Predicted: C, Probability: 0.873057964322039
Sequence553.csv_1: True Class: A, Predicted: C, Probability: 0.9695183791180638
Sequence554.csv_1: True Class: C, Predicted: C, Probability: 0.8374975826311716
Sequence555.csv_1: True Class: B, Predicted: C, Probability: 0.6122086595819767
Sequence556.csv_1: True Class: C, Predicted: C, Probability: 0.9970632925364465
Sequence557.csv_1: True Class: C, Predicted: B, Probability: 0.9872438131198489
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.7942096306519667
Sequence559.csv_1: True Class: B, Predicted: A, Probability: 0.9998350873087398
Sequence56.csv_1: True Class: B, Predicted: A, Probability: 0.9999993696630793
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.5912086190471701
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.9988598224044312
Sequence562.csv_1: True Class: C, Predicted: C, Probability: 0.9999169612051487
Sequence563.csv_1: True Class: B, Predicted: A, Probability: 0.9979006072238054
Sequence564.csv_1: True Class: B, Predicted: A, Probability: 0.9981692283314839
Sequence565.csv_1: True Class: C, Predicted: B, Probability: 0.9976388026780484
Sequence566.csv_1: True Class: A, Predicted: B, Probability: 0.9271449017104324
Sequence567.csv_1: True Class: A, Predicted: C, Probability: 0.9962425982093878
Sequence568.csv_1: True Class: A, Predicted: C, Probability: 0.9453431015534767
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.9678603530054134
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.9999996198238926
Sequence570.csv_1: True Class: A, Predicted: B, Probability: 0.9581023442228166
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9995645870701968
Sequence572.csv_1: True Class: B, Predicted: A, Probability: 0.7287890141711363
Sequence573.csv_1: True Class: C, Predicted: A, Probability: 0.9951364204765771
Sequence574.csv_1: True Class: C, Predicted: C, Probability: 0.9999992316805231
Sequence575.csv_1: True Class: C, Predicted: B, Probability: 0.8282840550693001
Sequence576.csv_1: True Class: C, Predicted: A, Probability: 0.999977954242877
Sequence577.csv_1: True Class: B, Predicted: C, Probability: 0.9998208108438342
Sequence578.csv_1: True Class: B, Predicted: C, Probability: 0.6944036844349238
Sequence579.csv_1: True Class: B, Predicted: B, Probability: 0.7218331567350581
Sequence58.csv_1: True Class: B, Predicted: B, Probability: 0.9968097965329418
Sequence580.csv_1: True Class: C, Predicted: A, Probability: 0.999876869457614
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9201840072873431
Sequence582.csv_1: True Class: A, Predicted: C, Probability: 0.7865418472913194
Sequence583.csv_1: True Class: C, Predicted: C, Probability: 0.8155937177006751
