Sequence549.csv_1: True Class: A, Predicted: B, Probability: 0.9999312979775674
Sequence55.csv_1: True Class: A, Predicted: B, Probability: 0.9934437696819592
Sequence550.csv_1: True Class: B, Predicted: A, Probability: 0.9741829315835575
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 0.6228993970079957
Sequence552.csv_1: True Class: A, Predicted: A, Probability: 0.9999278691562292
Sequence553.csv_1: True Class: A, Predicted: B, Probability: 0.5980596492846603
Sequence554.csv_1: True Class: A, Predicted: A, Probability: 0.9999912976469291
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.9975226161531422
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.9999999992083274
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9686129220420446
Sequence558.csv_1: True Class: A, Predicted: B, Probability: 0.9995790429843052
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9302941855369433
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9999376480201974
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.9999403443821414
Sequence561.csv_1: True Class: B, Predicted: A, Probability: 0.8713903420690025
Sequence562.csv_1: True Class: A, Predicted: B, Probability: 0.9999924877987287
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.9999995712119901
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.8359588471720791
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.9999030110112085
Sequence566.csv_1: True Class: A, Predicted: B, Probability: 0.9999646165581311
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.9999432578597455
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.9999139734092983
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.9999986136598432
Sequence57.csv_1: True Class: A, Predicted: B, Probability: 0.925955087948702
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.7159112145855199
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9999920454029967
Sequence572.csv_1: True Class: B, Predicted: A, Probability: 0.9966626054352478
Sequence573.csv_1: True Class: A, Predicted: B, Probability: 0.7664304307833986
Sequence574.csv_1: True Class: B, Predicted: B, Probability: 0.9646950981250972
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.999944405410926
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.9576113610748458
Sequence577.csv_1: True Class: B, Predicted: A, Probability: 0.9999398446108795
Sequence578.csv_1: True Class: A, Predicted: B, Probability: 0.9562751892257225
Sequence579.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999994882
Sequence58.csv_1: True Class: A, Predicted: B, Probability: 0.9941512267177455
Sequence580.csv_1: True Class: B, Predicted: A, Probability: 0.9999657328784696
Sequence581.csv_1: True Class: B, Predicted: B, Probability: 0.6774177300716168
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.9999999132778884
Sequence583.csv_1: True Class: A, Predicted: B, Probability: 0.9999865515031978
Sequence584.csv_1: True Class: B, Predicted: A, Probability: 0.7571216078947139
Sequence585.csv_1: True Class: A, Predicted: B, Probability: 0.983459693751035
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999997351
Sequence587.csv_1: True Class: A, Predicted: B, Probability: 0.6684639963994802
Sequence588.csv_1: True Class: A, Predicted: B, Probability: 0.9783102638231072
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9992164430588757
Sequence59.csv_1: True Class: A, Predicted: A, Probability: 0.9999308716688571
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 0.9999999971317197
Sequence591.csv_1: True Class: B, Predicted: A, Probability: 0.983373102024134
Sequence592.csv_1: True Class: A, Predicted: B, Probability: 0.9972642006309803
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9776646180707531
Sequence594.csv_1: True Class: B, Predicted: A, Probability: 0.9954586152141718
Sequence595.csv_1: True Class: B, Predicted: A, Probability: 0.8084552863477735
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.9931327757331652
Sequence597.csv_1: True Class: A, Predicted: B, Probability: 0.9844684173531418
Sequence598.csv_1: True Class: B, Predicted: A, Probability: 0.9998698163929711
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 0.9999947719780012
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.9997600221237016
Sequence60.csv_1: True Class: B, Predicted: B, Probability: 0.999978392224965
Sequence600.csv_1: True Class: A, Predicted: A, Probability: 0.9092394120380073
Sequence601.csv_1: True Class: A, Predicted: A, Probability: 0.9999999990115844
Sequence602.csv_1: True Class: A, Predicted: B, Probability: 0.9999765828187531
Sequence603.csv_1: True Class: A, Predicted: A, Probability: 0.9992957794060959
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 0.6570175702623666
Sequence605.csv_1: True Class: B, Predicted: A, Probability: 0.8415468778161805
Sequence606.csv_1: True Class: A, Predicted: B, Probability: 0.8030731237135788
Sequence607.csv_1: True Class: A, Predicted: A, Probability: 0.9993203481260259
Sequence608.csv_1: True Class: A, Predicted: A, Probability: 0.9749111233721135
Sequence609.csv_1: True Class: B, Predicted: B, Probability: 0.9999926741954945
Sequence61.csv_1: True Class: A, Predicted: B, Probability: 0.9993582743532118
Sequence610.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999951144
Sequence611.csv_1: True Class: B, Predicted: B, Probability: 0.7316290962597846
Sequence612.csv_1: True Class: A, Predicted: B, Probability: 0.99999949867993
Sequence613.csv_1: True Class: A, Predicted: A, Probability: 0.9334357651344066
Sequence614.csv_1: True Class: A, Predicted: B, Probability: 0.6159052253582168
Sequence615.csv_1: True Class: A, Predicted: B, Probability: 0.999998334909102
Sequence616.csv_1: True Class: A, Predicted: B, Probability: 0.6631653435783758
Sequence617.csv_1: True Class: A, Predicted: A, Probability: 0.999347095466338
Sequence618.csv_1: True Class: A, Predicted: A, Probability: 0.9999906941939869
Sequence619.csv_1: True Class: A, Predicted: B, Probability: 0.9852241598625305
Sequence62.csv_1: True Class: A, Predicted: B, Probability: 0.9960459434302966
Sequence620.csv_1: True Class: A, Predicted: B, Probability: 0.9186142574465066
Sequence621.csv_1: True Class: B, Predicted: A, Probability: 0.999992371649216
Sequence622.csv_1: True Class: A, Predicted: A, Probability: 0.8241351013863624
Sequence623.csv_1: True Class: A, Predicted: A, Probability: 0.9997595505275204
Sequence624.csv_1: True Class: A, Predicted: A, Probability: 0.9998861666486906
Sequence625.csv_1: True Class: A, Predicted: A, Probability: 0.9800277073871134
Sequence626.csv_1: True Class: B, Predicted: B, Probability: 0.9999942085476956
Sequence627.csv_1: True Class: A, Predicted: A, Probability: 0.9999999972081173
Sequence628.csv_1: True Class: A, Predicted: A, Probability: 0.5671003402225178
Sequence629.csv_1: True Class: A, Predicted: B, Probability: 0.9996052991687723
Sequence63.csv_1: True Class: A, Predicted: A, Probability: 0.9975575832128446
Sequence630.csv_1: True Class: B, Predicted: B, Probability: 0.9974840750226506
Sequence631.csv_1: True Class: B, Predicted: A, Probability: 0.9999080161147451
Sequence632.csv_1: True Class: A, Predicted: A, Probability: 0.9990795435479574
Sequence633.csv_1: True Class: B, Predicted: A, Probability: 0.9997636942582867
Sequence634.csv_1: True Class: A, Predicted: A, Probability: 0.9673423160552923
Sequence635.csv_1: True Class: B, Predicted: A, Probability: 0.9999999994526667
