Sequence549.csv_1: True Class: B, Predicted: B, Probability: 0.9996305922512169
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999956924
Sequence550.csv_1: True Class: A, Predicted: B, Probability: 0.9984043544829894
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 0.9999979764037858
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9995871861938813
Sequence553.csv_1: True Class: B, Predicted: B, Probability: 0.9999984179159528
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 0.999999998521449
Sequence555.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999447939
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999726531
Sequence557.csv_1: True Class: B, Predicted: B, Probability: 0.9999945847584734
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999804042
Sequence559.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999907039
Sequence56.csv_1: True Class: B, Predicted: B, Probability: 0.9889655808550892
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999917393
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.999999999999376
Sequence562.csv_1: True Class: B, Predicted: A, Probability: 0.9999916027406707
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 0.999989846953985
Sequence564.csv_1: True Class: A, Predicted: B, Probability: 0.5176947593549626
Sequence565.csv_1: True Class: B, Predicted: B, Probability: 0.9572064162486621
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence567.csv_1: True Class: B, Predicted: A, Probability: 0.9922558540941585
Sequence568.csv_1: True Class: B, Predicted: B, Probability: 0.9999988902357843
Sequence569.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999996
Sequence57.csv_1: True Class: B, Predicted: B, Probability: 0.999789348338164
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.9934745584052286
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence572.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999594
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999669
Sequence574.csv_1: True Class: B, Predicted: B, Probability: 0.9995250267256256
Sequence575.csv_1: True Class: B, Predicted: B, Probability: 0.999998834023222
Sequence576.csv_1: True Class: B, Predicted: B, Probability: 0.9999999978519805
Sequence577.csv_1: True Class: A, Predicted: B, Probability: 0.9999699638068873
Sequence578.csv_1: True Class: B, Predicted: B, Probability: 0.999999224257062
Sequence579.csv_1: True Class: B, Predicted: B, Probability: 0.999999999997727
Sequence58.csv_1: True Class: B, Predicted: B, Probability: 0.9999814150404929
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 0.9999611149129586
Sequence581.csv_1: True Class: B, Predicted: B, Probability: 0.999999993876265
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.9999999997927196
Sequence583.csv_1: True Class: B, Predicted: A, Probability: 0.9587351110324649
Sequence584.csv_1: True Class: A, Predicted: A, Probability: 0.9999998866215111
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999997655
Sequence586.csv_1: True Class: B, Predicted: B, Probability: 0.9999980695790832
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 0.9999999810206021
Sequence588.csv_1: True Class: B, Predicted: B, Probability: 0.997579517276389
Sequence589.csv_1: True Class: B, Predicted: B, Probability: 0.9999606481135553
Sequence59.csv_1: True Class: A, Predicted: B, Probability: 0.9999840237535979
Sequence590.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 0.9999977261438442
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.9998793988120752
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9998479300661967
Sequence594.csv_1: True Class: A, Predicted: B, Probability: 0.7302817678837838
Sequence595.csv_1: True Class: B, Predicted: B, Probability: 0.9444954400644247
Sequence596.csv_1: True Class: B, Predicted: A, Probability: 0.9999773029256945
