Sequence549.csv_1: True Class: B, Predicted: B, Probability: 0.9999943534074887
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.9990160538438413
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.9944549022426404
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.9999999918809368
Sequence552.csv_1: True Class: A, Predicted: A, Probability: 0.9999998536376032
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999453
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 0.9999996447373171
Sequence555.csv_1: True Class: B, Predicted: A, Probability: 0.9612609666273466
Sequence556.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999943273
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9999999970393385
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.922895382082878
Sequence559.csv_1: True Class: B, Predicted: B, Probability: 0.9999819952309013
Sequence56.csv_1: True Class: B, Predicted: A, Probability: 0.9000363565018048
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999960153
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.9999154862021479
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.993650060930422
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 0.9999999168912741
Sequence564.csv_1: True Class: B, Predicted: B, Probability: 0.9998688497709302
Sequence565.csv_1: True Class: A, Predicted: B, Probability: 0.9991485015581818
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9999963348254172
Sequence567.csv_1: True Class: A, Predicted: B, Probability: 0.9999999988419073
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.9992509805896249
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9998088424923042
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.9997002450834597
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999998697
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9999833101731221
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.9905052890272804
Sequence573.csv_1: True Class: A, Predicted: A, Probability: 0.9999632094172985
Sequence574.csv_1: True Class: B, Predicted: B, Probability: 0.9999999991934287
Sequence575.csv_1: True Class: A, Predicted: B, Probability: 0.9999999956155362
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.9716688128488334
Sequence577.csv_1: True Class: A, Predicted: B, Probability: 0.6975440531099638
Sequence578.csv_1: True Class: A, Predicted: B, Probability: 0.9999999732750992
Sequence579.csv_1: True Class: A, Predicted: B, Probability: 0.9999990867837173
Sequence58.csv_1: True Class: A, Predicted: B, Probability: 0.9999613753272776
Sequence580.csv_1: True Class: A, Predicted: A, Probability: 0.9999998499996621
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9995772699683596
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.9096369031513546
Sequence583.csv_1: True Class: B, Predicted: B, Probability: 0.999986866345633
Sequence584.csv_1: True Class: A, Predicted: B, Probability: 0.7056506534820526
Sequence585.csv_1: True Class: B, Predicted: A, Probability: 0.999884239039154
Sequence586.csv_1: True Class: A, Predicted: B, Probability: 0.9999999915738443
Sequence587.csv_1: True Class: A, Predicted: A, Probability: 0.9999999647954629
Sequence588.csv_1: True Class: A, Predicted: B, Probability: 0.9923650603373481
Sequence589.csv_1: True Class: B, Predicted: B, Probability: 0.9999999213884451
Sequence59.csv_1: True Class: B, Predicted: A, Probability: 0.9801988878496706
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 0.9993024494668954
Sequence591.csv_1: True Class: A, Predicted: B, Probability: 0.9999331547942129
Sequence592.csv_1: True Class: B, Predicted: A, Probability: 0.9999999988417961
Sequence593.csv_1: True Class: A, Predicted: B, Probability: 0.9944381860612997
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 0.999999999989397
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999759953
Sequence596.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999972379
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.5334457885370576
Sequence598.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999317
Sequence599.csv_1: True Class: B, Predicted: B, Probability: 0.9999958211901249
Sequence6.csv_1: True Class: B, Predicted: A, Probability: 0.9994634999711743
Sequence60.csv_1: True Class: B, Predicted: A, Probability: 0.9999997068334876
Sequence600.csv_1: True Class: A, Predicted: A, Probability: 0.9473452960469446
