Sequence549.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.990103078149964
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999883236
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999242009
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence555.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.8851088463153629
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9999999996330239
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999989878
Sequence559.csv_1: True Class: A, Predicted: B, Probability: 0.9999997823525332
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9999999996695272
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999990035
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.9999999717037801
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.999999999985874
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999998
Sequence567.csv_1: True Class: A, Predicted: B, Probability: 1.0
Sequence568.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999996682
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence57.csv_1: True Class: A, Predicted: B, Probability: 0.9995669886069796
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.9999999941087426
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9999999943599955
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.9999999986295347
Sequence573.csv_1: True Class: A, Predicted: A, Probability: 0.999999999999997
Sequence574.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence575.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.9997986545753821
Sequence578.csv_1: True Class: A, Predicted: B, Probability: 0.939689151831104
Sequence579.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence580.csv_1: True Class: A, Predicted: A, Probability: 0.9999931328858459
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9999929154779593
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999688778
Sequence583.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence584.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999998
Sequence586.csv_1: True Class: A, Predicted: B, Probability: 0.9999918673942418
Sequence587.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence588.csv_1: True Class: B, Predicted: B, Probability: 0.9999999997362171
Sequence589.csv_1: True Class: B, Predicted: B, Probability: 0.9999946869499562
Sequence59.csv_1: True Class: B, Predicted: A, Probability: 0.9979681434805789
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence592.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence593.csv_1: True Class: B, Predicted: A, Probability: 0.9850896985762629
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999718788
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence596.csv_1: True Class: A, Predicted: B, Probability: 0.9998570076715787
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999988355
Sequence598.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence6.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999992503
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence600.csv_1: True Class: A, Predicted: A, Probability: 0.999999999856601
Sequence601.csv_1: True Class: A, Predicted: B, Probability: 0.9999877295028918
Sequence602.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence603.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 0.999999999999882
Sequence605.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999972431
Sequence606.csv_1: True Class: B, Predicted: B, Probability: 0.9999999975870579
Sequence607.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence608.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999976
Sequence609.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999887
Sequence61.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence610.csv_1: True Class: B, Predicted: B, Probability: 0.595687183629763
