Sequence549.csv_1: True Class: B, Predicted: B, Probability: 0.9981583388037129
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.989836020176909
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.9995542622130855
Sequence551.csv_1: True Class: A, Predicted: B, Probability: 0.8767947629761722
Sequence552.csv_1: True Class: A, Predicted: B, Probability: 0.7362734754909547
Sequence553.csv_1: True Class: B, Predicted: B, Probability: 0.9968840121415589
Sequence554.csv_1: True Class: B, Predicted: A, Probability: 0.9986748177921794
Sequence555.csv_1: True Class: A, Predicted: B, Probability: 0.8029072967341463
Sequence556.csv_1: True Class: B, Predicted: A, Probability: 0.9957300523335871
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9717295342119244
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.9997493669631303
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9996620848689615
Sequence56.csv_1: True Class: B, Predicted: B, Probability: 0.9440107069994462
Sequence560.csv_1: True Class: B, Predicted: A, Probability: 0.9951270920881301
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.9998378656612451
Sequence562.csv_1: True Class: B, Predicted: A, Probability: 0.9999985307946193
Sequence563.csv_1: True Class: B, Predicted: A, Probability: 0.9989399771087446
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9894202783225978
Sequence565.csv_1: True Class: B, Predicted: B, Probability: 0.8724104308031797
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9735379234140058
Sequence567.csv_1: True Class: B, Predicted: A, Probability: 0.8562359632360365
Sequence568.csv_1: True Class: B, Predicted: B, Probability: 0.9115931721029721
Sequence569.csv_1: True Class: B, Predicted: A, Probability: 0.9993903664985364
Sequence57.csv_1: True Class: A, Predicted: B, Probability: 0.5846057949077841
Sequence570.csv_1: True Class: B, Predicted: A, Probability: 0.5907820063229403
Sequence571.csv_1: True Class: B, Predicted: A, Probability: 0.9228279773431025
Sequence572.csv_1: True Class: A, Predicted: B, Probability: 0.9803973902008083
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.9851179382566243
Sequence574.csv_1: True Class: B, Predicted: B, Probability: 0.9357025067884056
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.7876506946141992
Sequence576.csv_1: True Class: A, Predicted: B, Probability: 0.9945234377136349
Sequence577.csv_1: True Class: B, Predicted: A, Probability: 0.5464945095310432
Sequence578.csv_1: True Class: B, Predicted: A, Probability: 0.7825639569029291
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.9999330446213536
Sequence58.csv_1: True Class: A, Predicted: B, Probability: 0.5150959053493824
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 0.8688322798355528
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.8578378398666202
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.9996248821758424
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.5209024148853685
Sequence584.csv_1: True Class: B, Predicted: A, Probability: 0.9999997759059459
Sequence585.csv_1: True Class: A, Predicted: A, Probability: 0.9989441057088453
Sequence586.csv_1: True Class: A, Predicted: B, Probability: 0.7691717139785036
Sequence587.csv_1: True Class: A, Predicted: B, Probability: 0.9875242832168669
Sequence588.csv_1: True Class: A, Predicted: A, Probability: 0.9967377555138714
Sequence589.csv_1: True Class: B, Predicted: A, Probability: 0.9807258880254773
Sequence59.csv_1: True Class: B, Predicted: A, Probability: 0.8573665215556633
Sequence590.csv_1: True Class: B, Predicted: B, Probability: 0.979391028449682
Sequence591.csv_1: True Class: A, Predicted: A, Probability: 0.9575144844173188
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.973131377154368
Sequence593.csv_1: True Class: B, Predicted: A, Probability: 0.7695059055658013
Sequence594.csv_1: True Class: A, Predicted: B, Probability: 0.9078874828619206
Sequence595.csv_1: True Class: B, Predicted: B, Probability: 0.996490813315831
Sequence596.csv_1: True Class: B, Predicted: B, Probability: 0.6069699063964891
Sequence597.csv_1: True Class: A, Predicted: B, Probability: 0.9888792420026519
Sequence598.csv_1: True Class: A, Predicted: A, Probability: 0.9974392262817785
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 0.9989489863110504
Sequence6.csv_1: True Class: B, Predicted: B, Probability: 0.9959291220298344
Sequence60.csv_1: True Class: A, Predicted: B, Probability: 0.8184693872848313
Sequence600.csv_1: True Class: A, Predicted: A, Probability: 0.7963946094167346
Sequence601.csv_1: True Class: B, Predicted: A, Probability: 0.9998624817536007
Sequence602.csv_1: True Class: A, Predicted: B, Probability: 0.941818127197996
Sequence603.csv_1: True Class: B, Predicted: B, Probability: 0.9776087963085441
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 0.7915596643993323
Sequence605.csv_1: True Class: A, Predicted: A, Probability: 0.5222840921084532
Sequence606.csv_1: True Class: B, Predicted: B, Probability: 0.9999996252416722
Sequence607.csv_1: True Class: A, Predicted: A, Probability: 0.9913155603934781
Sequence608.csv_1: True Class: B, Predicted: B, Probability: 0.9963735736005046
Sequence609.csv_1: True Class: A, Predicted: B, Probability: 0.9935623300356656
Sequence61.csv_1: True Class: A, Predicted: A, Probability: 0.7122330063428975
Sequence610.csv_1: True Class: B, Predicted: B, Probability: 0.9999965233360932
Sequence611.csv_1: True Class: A, Predicted: B, Probability: 0.8239242069798894
Sequence612.csv_1: True Class: A, Predicted: B, Probability: 0.9943000179698764
Sequence613.csv_1: True Class: B, Predicted: B, Probability: 0.9996365113695935
Sequence614.csv_1: True Class: B, Predicted: A, Probability: 0.5036727400220955
Sequence615.csv_1: True Class: B, Predicted: B, Probability: 0.9998087429093524
Sequence616.csv_1: True Class: B, Predicted: B, Probability: 0.8938691996765414
Sequence617.csv_1: True Class: A, Predicted: A, Probability: 0.9881408619325096
Sequence618.csv_1: True Class: B, Predicted: A, Probability: 0.9124916386578723
Sequence619.csv_1: True Class: B, Predicted: B, Probability: 0.977707483585573
Sequence62.csv_1: True Class: A, Predicted: B, Probability: 0.6436318898275611
Sequence620.csv_1: True Class: B, Predicted: A, Probability: 0.9419158320827706
Sequence621.csv_1: True Class: B, Predicted: B, Probability: 0.9999997203342553
Sequence622.csv_1: True Class: A, Predicted: A, Probability: 0.7285383530186533
Sequence623.csv_1: True Class: A, Predicted: A, Probability: 0.966402765529563
Sequence624.csv_1: True Class: A, Predicted: A, Probability: 0.878568705225992
Sequence625.csv_1: True Class: B, Predicted: A, Probability: 0.9767289116414194
Sequence626.csv_1: True Class: B, Predicted: A, Probability: 0.9245830394260437
Sequence627.csv_1: True Class: B, Predicted: B, Probability: 0.9767047617452547
Sequence628.csv_1: True Class: B, Predicted: A, Probability: 0.9960662516684932
Sequence629.csv_1: True Class: B, Predicted: A, Probability: 0.946884856406652
Sequence63.csv_1: True Class: B, Predicted: B, Probability: 0.9947382522775161
Sequence630.csv_1: True Class: B, Predicted: B, Probability: 0.6200151763304937
Sequence631.csv_1: True Class: B, Predicted: B, Probability: 0.7314132186945497
Sequence632.csv_1: True Class: A, Predicted: B, Probability: 0.9641581452087425
Sequence633.csv_1: True Class: A, Predicted: A, Probability: 0.973460425498436
Sequence634.csv_1: True Class: A, Predicted: B, Probability: 0.9841243996740245
Sequence635.csv_1: True Class: A, Predicted: B, Probability: 0.9531348198662585
Sequence636.csv_1: True Class: A, Predicted: B, Probability: 0.9910585589638337
Sequence637.csv_1: True Class: A, Predicted: A, Probability: 0.9946522509136982
Sequence638.csv_1: True Class: A, Predicted: A, Probability: 0.9999663679327969
Sequence639.csv_1: True Class: B, Predicted: A, Probability: 0.9939695863755118
Sequence64.csv_1: True Class: B, Predicted: B, Probability: 0.9710901667433767
Sequence640.csv_1: True Class: A, Predicted: B, Probability: 0.7583396958381533
Sequence641.csv_1: True Class: A, Predicted: A, Probability: 0.9689158315733497
Sequence642.csv_1: True Class: A, Predicted: B, Probability: 0.9964409976540138
Sequence643.csv_1: True Class: A, Predicted: A, Probability: 0.9857103303611638
Sequence644.csv_1: True Class: B, Predicted: B, Probability: 0.999997803319734
Sequence645.csv_1: True Class: A, Predicted: B, Probability: 0.9618854108150975
Sequence646.csv_1: True Class: A, Predicted: B, Probability: 0.9996749771005694
Sequence647.csv_1: True Class: B, Predicted: A, Probability: 0.767501479992653
Sequence648.csv_1: True Class: B, Predicted: A, Probability: 0.9999907419802093
Sequence649.csv_1: True Class: B, Predicted: B, Probability: 0.9932298967671306
Sequence65.csv_1: True Class: A, Predicted: A, Probability: 0.9999543364938974
Sequence650.csv_1: True Class: A, Predicted: A, Probability: 0.8115789282045466
Sequence651.csv_1: True Class: A, Predicted: B, Probability: 0.7949545469641837
Sequence652.csv_1: True Class: B, Predicted: A, Probability: 0.9940199927426981
Sequence653.csv_1: True Class: B, Predicted: A, Probability: 0.9897440228801792
Sequence654.csv_1: True Class: B, Predicted: A, Probability: 0.9941586267555604
Sequence655.csv_1: True Class: B, Predicted: B, Probability: 0.6518340855064882
Sequence656.csv_1: True Class: A, Predicted: B, Probability: 0.9841618655334398
Sequence657.csv_1: True Class: A, Predicted: B, Probability: 0.9999563437030534
Sequence658.csv_1: True Class: B, Predicted: A, Probability: 0.999966211970337
Sequence659.csv_1: True Class: B, Predicted: B, Probability: 0.9782982939167777
Sequence66.csv_1: True Class: A, Predicted: B, Probability: 0.9099609813768499
Sequence660.csv_1: True Class: B, Predicted: A, Probability: 0.784023440677241
Sequence661.csv_1: True Class: B, Predicted: B, Probability: 0.9999678376814229
Sequence662.csv_1: True Class: B, Predicted: B, Probability: 0.9645454757953262
Sequence663.csv_1: True Class: A, Predicted: A, Probability: 0.974736839034933
Sequence664.csv_1: True Class: B, Predicted: A, Probability: 0.8442039377599809
Sequence665.csv_1: True Class: A, Predicted: A, Probability: 0.9902801053091796
Sequence666.csv_1: True Class: B, Predicted: A, Probability: 0.7826404458026766
Sequence667.csv_1: True Class: B, Predicted: A, Probability: 0.666852687251785
Sequence668.csv_1: True Class: A, Predicted: A, Probability: 0.9958307029255355
Sequence669.csv_1: True Class: A, Predicted: B, Probability: 0.9999999939127618
Sequence67.csv_1: True Class: A, Predicted: A, Probability: 0.9886827280070881
Sequence670.csv_1: True Class: B, Predicted: A, Probability: 0.9998871577026538
Sequence671.csv_1: True Class: B, Predicted: A, Probability: 0.5109130145019776
Sequence672.csv_1: True Class: B, Predicted: A, Probability: 0.9999999767542289
Sequence673.csv_1: True Class: A, Predicted: A, Probability: 0.79621125623343
Sequence674.csv_1: True Class: A, Predicted: A, Probability: 0.9422270324338858
Sequence675.csv_1: True Class: A, Predicted: B, Probability: 0.6204935867718289
Sequence676.csv_1: True Class: A, Predicted: B, Probability: 0.8724960323287038
Sequence677.csv_1: True Class: B, Predicted: A, Probability: 0.7086865734460955
Sequence678.csv_1: True Class: A, Predicted: A, Probability: 0.7415266476218204
Sequence679.csv_1: True Class: B, Predicted: B, Probability: 0.9999926160894561
Sequence68.csv_1: True Class: B, Predicted: A, Probability: 0.9691033744610443
Sequence680.csv_1: True Class: B, Predicted: B, Probability: 0.9964466131973756
Sequence681.csv_1: True Class: B, Predicted: B, Probability: 0.9999989464512965
Sequence682.csv_1: True Class: A, Predicted: A, Probability: 0.6715777697113836
Sequence683.csv_1: True Class: B, Predicted: B, Probability: 0.9999851692268038
Sequence684.csv_1: True Class: B, Predicted: B, Probability: 0.5763731521934136
Sequence685.csv_1: True Class: A, Predicted: B, Probability: 0.99725760609986
Sequence686.csv_1: True Class: B, Predicted: B, Probability: 0.6034496238526237
Sequence687.csv_1: True Class: B, Predicted: B, Probability: 0.8177473239283466
Sequence688.csv_1: True Class: A, Predicted: A, Probability: 0.5887785983474982
Sequence689.csv_1: True Class: B, Predicted: B, Probability: 0.9946884629413189
Sequence69.csv_1: True Class: A, Predicted: A, Probability: 0.9999950211521208
