Sequence549.csv_1: True Class: B, Predicted: A, Probability: 0.9630824958655981
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 0.9999895357332439
Sequence550.csv_1: True Class: B, Predicted: A, Probability: 0.8997989794747936
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 0.9989338191461756
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9999995185292225
Sequence553.csv_1: True Class: A, Predicted: B, Probability: 0.6750221799015069
Sequence554.csv_1: True Class: A, Predicted: A, Probability: 0.8235453625559616
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999777178
Sequence556.csv_1: True Class: B, Predicted: A, Probability: 0.9980182810614828
Sequence557.csv_1: True Class: B, Predicted: B, Probability: 0.9999874756913499
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.7121116986653933
Sequence559.csv_1: True Class: B, Predicted: A, Probability: 0.9999999982245757
Sequence56.csv_1: True Class: B, Predicted: B, Probability: 0.999426310674318
Sequence560.csv_1: True Class: B, Predicted: A, Probability: 0.9999563349693636
Sequence561.csv_1: True Class: B, Predicted: A, Probability: 0.6070005874751482
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 0.9999886093524524
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 0.962165085680554
Sequence564.csv_1: True Class: B, Predicted: A, Probability: 0.7144070750717773
Sequence565.csv_1: True Class: B, Predicted: B, Probability: 0.983356338217188
Sequence566.csv_1: True Class: B, Predicted: B, Probability: 0.9999998595045543
Sequence567.csv_1: True Class: B, Predicted: A, Probability: 0.999996608569191
Sequence568.csv_1: True Class: A, Predicted: B, Probability: 0.9999989863860516
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.9999925880791644
Sequence57.csv_1: True Class: B, Predicted: B, Probability: 0.9999995226103051
Sequence570.csv_1: True Class: B, Predicted: A, Probability: 0.9899859986245486
Sequence571.csv_1: True Class: B, Predicted: B, Probability: 0.9997488450168192
Sequence572.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999766667
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.9370873369468572
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.9999863382925008
Sequence575.csv_1: True Class: A, Predicted: B, Probability: 0.8793251856146109
Sequence576.csv_1: True Class: B, Predicted: B, Probability: 0.9999741663114659
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.9957319596243935
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.9997687797976695
Sequence579.csv_1: True Class: B, Predicted: B, Probability: 0.9987875974023162
Sequence58.csv_1: True Class: B, Predicted: B, Probability: 0.8608504869550964
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 0.8573685781715357
Sequence581.csv_1: True Class: A, Predicted: B, Probability: 0.9982831601196678
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.9992161603853545
Sequence583.csv_1: True Class: A, Predicted: B, Probability: 0.9993308216005576
Sequence584.csv_1: True Class: A, Predicted: A, Probability: 0.9999999779648923
Sequence585.csv_1: True Class: A, Predicted: B, Probability: 0.9999940938596331
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.9993582265100082
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 0.9999998994325152
Sequence588.csv_1: True Class: A, Predicted: B, Probability: 0.9970862317719003
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9999733944624909
Sequence59.csv_1: True Class: A, Predicted: B, Probability: 0.9999999869693729
Sequence590.csv_1: True Class: B, Predicted: B, Probability: 0.9999132832859083
Sequence591.csv_1: True Class: B, Predicted: A, Probability: 0.7351743356675101
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.9999993243151044
Sequence593.csv_1: True Class: B, Predicted: B, Probability: 0.9972079085482868
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 0.8450661691451353
Sequence595.csv_1: True Class: B, Predicted: B, Probability: 0.9999424892229023
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.8743803203893153
Sequence597.csv_1: True Class: B, Predicted: B, Probability: 0.9929804857047178
Sequence598.csv_1: True Class: B, Predicted: A, Probability: 0.7988127646776572
Sequence599.csv_1: True Class: A, Predicted: B, Probability: 0.9998626689194847
Sequence6.csv_1: True Class: B, Predicted: A, Probability: 0.9810748127266823
Sequence60.csv_1: True Class: B, Predicted: A, Probability: 0.6905312728015385
Sequence600.csv_1: True Class: B, Predicted: A, Probability: 0.7547315342998345
Sequence601.csv_1: True Class: A, Predicted: A, Probability: 0.9993097275140717
Sequence602.csv_1: True Class: A, Predicted: B, Probability: 0.9999977401482619
Sequence603.csv_1: True Class: A, Predicted: A, Probability: 0.9999995860590617
Sequence604.csv_1: True Class: B, Predicted: B, Probability: 0.9989789799204827
Sequence605.csv_1: True Class: B, Predicted: B, Probability: 0.9999878034744345
Sequence606.csv_1: True Class: B, Predicted: A, Probability: 0.9999999946708805
Sequence607.csv_1: True Class: B, Predicted: B, Probability: 0.9308899269072264
Sequence608.csv_1: True Class: B, Predicted: A, Probability: 0.9413658411003766
Sequence609.csv_1: True Class: A, Predicted: A, Probability: 0.5754205968677062
Sequence61.csv_1: True Class: A, Predicted: B, Probability: 0.9999363538847691
Sequence610.csv_1: True Class: B, Predicted: B, Probability: 0.9734856010512638
Sequence611.csv_1: True Class: B, Predicted: B, Probability: 0.9999869114625488
Sequence612.csv_1: True Class: B, Predicted: A, Probability: 0.9957266571472007
Sequence613.csv_1: True Class: A, Predicted: A, Probability: 0.7956289128563466
Sequence614.csv_1: True Class: B, Predicted: A, Probability: 0.7440176709996631
Sequence615.csv_1: True Class: A, Predicted: B, Probability: 0.9998865010873539
Sequence616.csv_1: True Class: A, Predicted: A, Probability: 0.9989986002250367
Sequence617.csv_1: True Class: A, Predicted: A, Probability: 0.9959047825886937
Sequence618.csv_1: True Class: B, Predicted: A, Probability: 0.9908625122764754
Sequence619.csv_1: True Class: B, Predicted: A, Probability: 0.6598159062546936
Sequence62.csv_1: True Class: B, Predicted: B, Probability: 0.9998991141770985
Sequence620.csv_1: True Class: A, Predicted: B, Probability: 0.9995434763587894
Sequence621.csv_1: True Class: A, Predicted: A, Probability: 0.7097222391965985
Sequence622.csv_1: True Class: B, Predicted: A, Probability: 0.9999999995838811
Sequence623.csv_1: True Class: B, Predicted: B, Probability: 0.8650036135645058
Sequence624.csv_1: True Class: B, Predicted: A, Probability: 0.7163987963605969
Sequence625.csv_1: True Class: B, Predicted: B, Probability: 0.9999982586177144
Sequence626.csv_1: True Class: A, Predicted: B, Probability: 0.9932679626226874
Sequence627.csv_1: True Class: A, Predicted: B, Probability: 0.9999867363400851
Sequence628.csv_1: True Class: A, Predicted: B, Probability: 0.9993615387736762
Sequence629.csv_1: True Class: A, Predicted: B, Probability: 0.9938954301902637
Sequence63.csv_1: True Class: B, Predicted: B, Probability: 0.9999935573716608
Sequence630.csv_1: True Class: B, Predicted: B, Probability: 0.9999973962796102
Sequence631.csv_1: True Class: A, Predicted: B, Probability: 0.6683816151362995
Sequence632.csv_1: True Class: B, Predicted: A, Probability: 0.6893888269377105
Sequence633.csv_1: True Class: A, Predicted: B, Probability: 0.8932079490877103
Sequence634.csv_1: True Class: B, Predicted: B, Probability: 0.9998729598054464
Sequence635.csv_1: True Class: A, Predicted: A, Probability: 0.9999931828303625
Sequence636.csv_1: True Class: B, Predicted: A, Probability: 0.9992842877108428
Sequence637.csv_1: True Class: A, Predicted: A, Probability: 0.9729468665399819
Sequence638.csv_1: True Class: B, Predicted: B, Probability: 0.9895675923890156
Sequence639.csv_1: True Class: A, Predicted: B, Probability: 0.608989459427892
Sequence64.csv_1: True Class: B, Predicted: B, Probability: 0.9998931640469265
Sequence640.csv_1: True Class: B, Predicted: A, Probability: 0.9999930232010308
Sequence641.csv_1: True Class: A, Predicted: B, Probability: 0.878674514936479
Sequence642.csv_1: True Class: A, Predicted: B, Probability: 0.9501247356277771
Sequence643.csv_1: True Class: B, Predicted: B, Probability: 0.9999902185780143
Sequence644.csv_1: True Class: A, Predicted: B, Probability: 0.9110331697330137
Sequence645.csv_1: True Class: B, Predicted: B, Probability: 0.9998695889532059
Sequence646.csv_1: True Class: B, Predicted: A, Probability: 0.9925903162168705
Sequence647.csv_1: True Class: B, Predicted: B, Probability: 0.9297110719906746
Sequence648.csv_1: True Class: B, Predicted: A, Probability: 0.8747451981783463
Sequence649.csv_1: True Class: A, Predicted: A, Probability: 0.9822132431756997
Sequence65.csv_1: True Class: A, Predicted: B, Probability: 0.9066256316750481
Sequence650.csv_1: True Class: B, Predicted: A, Probability: 0.7465957836843947
Sequence651.csv_1: True Class: A, Predicted: B, Probability: 0.9651107875737382
Sequence652.csv_1: True Class: A, Predicted: B, Probability: 0.9996330360644538
Sequence653.csv_1: True Class: A, Predicted: A, Probability: 0.9998893656801923
Sequence654.csv_1: True Class: A, Predicted: B, Probability: 0.8161611625049978
Sequence655.csv_1: True Class: B, Predicted: B, Probability: 0.9999924902310979
Sequence656.csv_1: True Class: B, Predicted: B, Probability: 0.9999982308631595
Sequence657.csv_1: True Class: B, Predicted: B, Probability: 0.7930303157652424
Sequence658.csv_1: True Class: B, Predicted: A, Probability: 0.9974693840085194
Sequence659.csv_1: True Class: B, Predicted: A, Probability: 0.9954458721481727
Sequence66.csv_1: True Class: B, Predicted: B, Probability: 0.9999999994940273
Sequence660.csv_1: True Class: B, Predicted: A, Probability: 0.9933162228618223
Sequence661.csv_1: True Class: B, Predicted: A, Probability: 0.99999990880613
Sequence662.csv_1: True Class: B, Predicted: B, Probability: 0.9995165442426608
Sequence663.csv_1: True Class: B, Predicted: A, Probability: 0.9999995029330698
Sequence664.csv_1: True Class: A, Predicted: A, Probability: 0.9279692114206741
Sequence665.csv_1: True Class: A, Predicted: A, Probability: 0.999979910996817
Sequence666.csv_1: True Class: A, Predicted: B, Probability: 0.9182393336322014
Sequence667.csv_1: True Class: B, Predicted: B, Probability: 0.9999900091279148
Sequence668.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999982
Sequence669.csv_1: True Class: A, Predicted: A, Probability: 0.9999998096314812
Sequence67.csv_1: True Class: B, Predicted: B, Probability: 0.8986462263744457
Sequence670.csv_1: True Class: B, Predicted: B, Probability: 0.9994513312904711
Sequence671.csv_1: True Class: B, Predicted: A, Probability: 0.6306468555130023
Sequence672.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999976
Sequence673.csv_1: True Class: B, Predicted: B, Probability: 0.9999618494384531
Sequence674.csv_1: True Class: B, Predicted: A, Probability: 0.9701852667516497
Sequence675.csv_1: True Class: B, Predicted: B, Probability: 0.9944566724100959
