Sequence549.csv_1: True Class: A, Predicted: B, Probability: 0.9981052595055572
Sequence55.csv_1: True Class: A, Predicted: B, Probability: 0.9118321408535671
Sequence550.csv_1: True Class: A, Predicted: B, Probability: 0.9992671275877218
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 0.8921735565090178
Sequence552.csv_1: True Class: A, Predicted: B, Probability: 0.9999988899196787
Sequence553.csv_1: True Class: B, Predicted: A, Probability: 0.9915042192555856
Sequence554.csv_1: True Class: A, Predicted: A, Probability: 0.5556328577535894
Sequence555.csv_1: True Class: B, Predicted: A, Probability: 0.9999994802565164
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.8068898336400818
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.8534806573938551
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.8731650474967484
Sequence559.csv_1: True Class: B, Predicted: A, Probability: 0.9999075642450471
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9998799603904439
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.8444541023855615
Sequence561.csv_1: True Class: B, Predicted: A, Probability: 0.592828274625568
Sequence562.csv_1: True Class: B, Predicted: A, Probability: 0.8985751894794561
Sequence563.csv_1: True Class: B, Predicted: A, Probability: 0.5961554709504318
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9985835361263287
Sequence565.csv_1: True Class: A, Predicted: B, Probability: 0.9999998135877761
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9999999409277583
Sequence567.csv_1: True Class: B, Predicted: A, Probability: 0.9257662107340889
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.99986962133647
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9999045271435414
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.9719651721892044
Sequence570.csv_1: True Class: B, Predicted: A, Probability: 0.999611101823628
Sequence571.csv_1: True Class: B, Predicted: B, Probability: 0.681995733335039
Sequence572.csv_1: True Class: A, Predicted: B, Probability: 0.9541586002939139
Sequence573.csv_1: True Class: B, Predicted: A, Probability: 0.9999442572850622
Sequence574.csv_1: True Class: B, Predicted: A, Probability: 0.9997681971978861
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.9996108797608539
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.9735102138834082
Sequence577.csv_1: True Class: B, Predicted: A, Probability: 0.9965148999442314
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.9999749511783632
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.6551092668088612
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.8423331736970635
Sequence580.csv_1: True Class: B, Predicted: A, Probability: 0.9997905886122163
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9998122990194868
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.9999573800522593
Sequence583.csv_1: True Class: A, Predicted: B, Probability: 0.9837345519951054
Sequence584.csv_1: True Class: A, Predicted: A, Probability: 0.9999533304658801
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 0.9651808387472189
Sequence586.csv_1: True Class: B, Predicted: B, Probability: 0.5108119447641764
